bbl,address,bldgclass,pv_kw_dc,annual_kwh,avg_daily_kwh,psh_daily_kwh,canopy_area_m2,lat,lon
1002830072,162 EAST BROADWAY,C7,17.504764618927695,21670.898598232485,59.37232492666434,64.41753379765392,87.52382309463847,40.714207751234376,-73.99039964163273
1002820054,94 EAST BROADWAY,C7,22.433350207192802,27772.48755650469,76.08900700412244,82.55472876246951,112.16675103596401,40.71396225776462,-73.9935802528119
1002930028,88 DIVISION STREET,C7,25.863528923884658,32019.048807769206,87.7234213911485,95.17778643989554,129.31764461942328,40.71447493402432,-73.9937280801978
1002920029,5 ELDRIDGE STREET,C7,29.860124022364573,36966.833539687344,101.2789959991434,109.88525640230162,149.30062011182287,40.71458948980484,-73.99403483603058
1002920028,7 ELDRIDGE STREET,C7,21.720037278901614,26889.4061512802,73.66960589391836,79.92973718635794,108.60018639450806,40.714645157669,-73.99396950595715
1002920027,9 ELDRIDGE STREET,C7,21.10750241405041,26131.087988594405,71.59202188656002,77.67560888370551,105.53751207025203,40.714709199500305,-73.99393696505939
1002920026,11 ELDRIDGE STREET,C7,31.343457211433403,38803.20002775455,106.31013706234124,115.34392253807492,156.717286057167,40.71478592651338,-73.99394320532646
1002920025,13 ELDRIDGE STREET,C7,37.90047481290093,46920.787818371355,128.5501036119763,139.47374731147542,189.50237406450466,40.714859982525745,-73.99394569561257
1002930020,3 ALLEN STREET,C7,26.70286423009128,33058.145916853005,90.57026278589865,98.26654036673591,133.5143211504564,40.71469123409926,-73.99313360212167
1002930015,70 CANAL STREET,C7,28.44282226236814,35212.21396081176,96.47181907071715,104.66958592551475,142.2141113118407,40.71503260130396,-73.99287969940526
1002940022,50 CANAL STREET,C7,29.4043644313883,36402.60316605871,99.73315935906496,108.20806110750894,147.02182215694148,40.71470469510085,-73.99181265593212
1002970022,13 ESSEX STREET,C7,53.35339960337745,66051.50870898127,180.9630375588528,196.34051054042902,266.7669980168872,40.71515384070677,-73.99026422243739
1002970022,13 ESSEX STREET,C7,53.35339960337745,66051.50870898127,180.9630375588528,196.34051054042902,266.7669980168872,40.71521834855947,-73.9902310295867
1002990030,19 ORCHARD STREET,C1,30.450785128340733,37698.07198888583,103.28238901064611,112.0588892722939,152.25392564170366,40.71535482064929,-73.99193423661141
1002990027,25 ORCHARD STREET,C8,35.6720230017789,44161.96447620228,120.99168349644461,131.27304464654637,178.3601150088945,40.71548620613957,-73.99185912238369
1002990022,35 ORCHARD STREET,C7,35.500362281225044,43949.44850415661,120.40944795659344,130.64133319490816,177.5018114061252,40.71579738642719,-73.99168971271845
