bbl,address,bldgclass,numfloors,yearbuilt,roof_area_m2_actual,canopy_area_m2,pv_kw_dc,annual_kwh,avg_daily_kwh,psh_daily_kwh
1006110024.0,200 WAVERLY PLACE,C1,6.0,1903.0,,219.84728509637407,43.96945701927481,54434.18778986222,149.13476106811567,161.8076018309313
1006110045.0,24 CHARLES STREET,C7,6.0,1903.0,,191.16522637669107,38.23304527533821,47332.51005086871,129.67810972840743,140.69760661324463
1006100030.0,39 CHRISTOPHER STREET,C7,6.0,1908.0,,108.45204984293741,21.690409968587485,26852.727541111308,73.56911655098989,79.82070868440195
1006110022.0,28 CHARLES STREET,C7,6.0,1910.0,,167.9982303950342,33.59964607900684,41596.36184581047,113.96263519400128,123.64669757074518
1006100028.0,35 CHRISTOPHER STREET,C7,6.0,1908.0,,145.47581955510987,29.095163911021974,36019.8129218452,98.68441896395946,107.07020319256085
1003740041.0,41 AVENUE D,C7,6.0,1900.0,,247.37247108978426,49.47449421795685,61249.42384183058,167.80664066254954,182.0661387220812
1003940052.0,633 EAST 11 STREET,C6,6.0,1937.0,,152.26857005945453,30.45371401189091,37701.697946720946,103.29232314170122,112.06966756375856
1003790057.0,713 EAST 9 STREET,C4,6.0,1900.0,,204.92458501394523,40.98491700278905,50739.32724945284,139.011855477953,150.82449457026368
1003940053.0,631 EAST 11 STREET,C4,6.0,1910.0,,192.61921457626417,38.523842915252835,47692.51752908301,130.6644315865288,141.76774192813045
1003750030.0,742 EAST 6 STREET,C6,6.0,1902.0,,230.74731988074444,46.149463976148894,57133.03640247233,156.52886685608857,169.83002743222792
1003760018.0,250 EAST 7 STREET,C6,6.0,1928.0,,152.0804437859202,30.416088757184042,37655.117881393846,103.16470652436671,111.93120662643726
1003940050.0,635 EAST 11 STREET,C4,6.0,1900.0,,147.27721185594547,29.455442371189093,36465.8376555321,99.90640453570438,108.39602792597587
1003790017.0,416 EAST 10 STREET,C6,6.0,1900.0,,219.66044351755835,43.932088703511674,54387.925814947455,149.0080159313629,161.67008642892296
1003760031.0,276 EAST 7 STREET,C6,6.0,1920.0,,161.11169987326184,32.22233997465237,39891.25688861964,109.29111476334148,118.57821110672072
1003790015.0,412 EAST 10 STREET,C6,6.0,1930.0,,189.30529119669805,37.86105823933961,46871.99010030244,128.41641123370533,139.32869432076978
1003760028.0,272 EAST 7 STREET,C4,6.0,1900.0,,162.97469276171208,32.59493855234242,40352.533927799916,110.55488747342443,119.9493738726201
1003750039.0,67 AVENUE D,C7,6.0,1910.0,,185.31615976106053,37.06323195221211,45884.28115683859,125.71035933380435,136.39269358414055
1003760019.0,254 EAST 7 STREET,C6,6.0,1910.0,,195.6184358801301,39.123687176026024,48435.12472392022,132.69897184635676,143.97516880777576
1003780009.0,140 AVENUE C,C7,6.0,1920.0,,210.83222947064542,42.16644589412908,52202.060016931806,143.01934251214195,155.17252089039502
