bbl,address,pv_kw_dc,annual_kwh,avg_daily_kwh,psh_daily_kwh,canopy_area_m2,roof_area_m2,lat,lon
1002830072,162 EAST BROADWAY,17.504825033306606,21670.97339123358,59.37252983899611,64.4177561225683,87.52412516653303,102.96955901945061,40.71420775124431,-73.99039964163798
1002820054,94 EAST BROADWAY,22.433427536358423,27772.583290011728,76.08926928770336,82.555013333799,112.1671376817921,131.9613384491672,40.71396225778243,-73.99358025282129
1002930028,88 DIVISION STREET,25.863618081424654,32019.15918480372,87.7237237939828,95.17811453964272,129.31809040712326,152.13892989073327,40.714474934068775,-73.99372808013102
1002920029,5 ELDRIDGE STREET,29.86022694901849,36966.96096288489,101.27934510379423,109.88563517238805,149.30113474509244,175.64839381775582,40.71458948977241,-73.99403483607679
1002920028,7 ELDRIDGE STREET,21.72011215263238,26889.49884495889,73.66985984920244,79.93001272168716,108.6005607631619,127.76536560371987,40.71464515763713,-73.99396950598678
1002920027,9 ELDRIDGE STREET,21.107575183220945,26131.17807682753,71.59226870363707,77.67587667425308,105.53787591610472,124.16220696012321,40.71470919946775,-73.9939369650878
1002920026,11 ELDRIDGE STREET,31.343565259614582,38803.33379140285,106.31050353809,115.34432015538167,156.7178262980729,184.37391329185047,40.71478592645814,-73.9939432053798
1002920025,13 ELDRIDGE STREET,37.90060547066879,46920.94957268797,128.55054677448757,139.47422813206114,189.50302735334395,222.9447380627576,40.71485998247047,-73.9939456956759
1002930020,3 ALLEN STREET,26.70295630811793,33058.25990945,90.57057509438356,98.26687921387398,133.51478154058964,157.07621357716428,40.7146912340735,-73.99313360217856
1002930015,70 CANAL STREET,28.44292035751677,35212.33540260576,96.47215178796098,104.6699469156617,142.21460178758383,167.31129622068687,40.715032601292464,-73.99287969941187
1002940022,50 CANAL STREET,29.40446587441116,36402.72875252101,99.73350343156442,108.20843441783308,147.0223293720558,172.96744632006565,40.71470469509567,-73.991812655929
1002990030,19 ORCHARD STREET,30.450890196153484,37698.20206283801,103.28274537763839,112.0592759218448,152.25445098076742,179.1228835067852,40.71535482061575,-73.99193423667359
1002970022,13 ESSEX STREET,53.353583801216146,66051.73674590558,180.96366231754953,196.34118838847542,266.7679190060807,313.8446105953891,40.715153840687165,-73.99026422248322
