healthcenterdistrict,bldgdepth,bct2020,zipcode,numbldgs,zmcode,spdist1,lottype,latitude,proxcode,xcoord,otherarea,splitzone,retailarea,healtharea,pfirm15_flag,yearbuilt,lotfront,sanitboro,cb2010,landuse,assessland,garagearea,cd,zoningdate,ltdheight,appbbl,sanborn,commfar,dcpedited,residfar,builtfar,bldgclass,bbl,yearalter2,irrlotcode,edesigdate,tract2010,council,schooldist,spdist2,easements,longitude,officearea,histdist,yearalter1,strgearea,rpaddate,lotarea,numfloors,version,ycoord,block,unitsres,lotdepth,landmkdate,facilfar,overlay1,spdist3,ownertype,zonedist4,bldgfront,sanitdistrict,exempttot,areasource,assesstot,firecomp,edesignum,lot,zonedist1,address,policeprct,ct2010,ext,borocode,notes,sanitsub,taxmap,polidate,ownername,appdate,zonemap,zonedist2,firm07_flag,condono,comarea,basempdate,plutomapid,zonedist3,overlay2,bctcb2020,factryarea,dcasdate,bldgarea,bsmtcode,unitstotal,resarea,borough,geom,masdate,landmark,geometry
14,66.0000000,1003200,10009,1,,,5,40.7231197,3,988986,0,False,1000,6600,,1900,48.1700000,1,5000,4,315000.00000,0,103,,,,102 012,0.00000000000,,4.00000000000,4.26000000000,C7,1003990033,0,False,,32,2,1,,0,-73.9829139,0,,0,0,,3853,6.0000000,25v4,202729,399,21,80.0000000,,4.00000000000,C1-5,,,,48.0000000,3,0.00000,2,2387700.00000,E028,,33,R7A,46 AVENUE B,9,32,N,1,,3A,10203,,46 AVE B LLC,,12c,,,,1000,,1,,,10032005000,0,,16433,2,23,15433,MN,,,,
14,83.0000000,1003200,10009,1,,,5,40.7230923,0,988852,0,False,1200,6600,,1900,48.0000000,1,5000,4,360000.00000,0,103,,,,102 012,0.00000000000,,4.00000000000,4.03000000000,C7,1003990041,0,False,,32,2,1,,0,-73.9833974,0,,1990,0,,4616,6.0000000,25v4,202719,399,12,96.1700000,,4.00000000000,,,,,48.0000000,3,0.00000,2,1976850.00000,E028,,41,R8B,191 EAST 3 STREET,9,32,N,1,,3A,10203,,191 EAST 3RD ST HSNGETC,,12c,,,,1200,,1,,,10032005000,0,,18598,0,15,17398,MN,,,,
14,82.0000000,1003200,10009,1,,,5,40.7232927,3,988722,0,False,1200,6600,,1900,49.5000000,1,5000,4,270000.00000,0,103,,,,102 012,0.00000000000,,4.00000000000,4.12000000000,C7,1003990047,0,False,,32,2,1,,0,-73.9838663,0,,1987,0,,4760,6.0000000,25v4,202792,399,32,96.1700000,,4.00000000000,,,,,50.0000000,3,0.00000,2,2550150.00000,E028,,47,R8B,181 EAST 3 STREET,9,32,N,1,,3A,10203,,CHARLIES EAST VILLAGE TIC LLC,,12c,,,,1200,,1,,,10032005000,0,,19600,2,35,18400,MN,,,,
14,84.0000000,1003200,10009,1,,,5,40.7240145,3,988977,0,False,1200,6600,,1929,40.0000000,1,6001,4,154800.00000,0,103,,,,102 012,0.00000000000,,3.00000000000,4.25000000000,C7,1004000024,0,False,,32,2,1,,0,-73.9829462,0,,1983,0,,3847,6.0000000,25v4,203055,400,22,96.1700000,,3.00000000000,,,,,40.0000000,3,0.00000,2,2103300.00000,E028,,24,R7B,536 EAST 5 STREET,9,32,N,1,,3A,10203,,536 EAST 5TH ST EQTYINC,,12c,,,,1200,,1,,,10032006001,0,,16344,2,24,15144,MN,,,,
14,84.0000000,1003200,10009,1,,,5,40.7239623,3,989012,0,False,1200,6600,,1929,39.9200000,1,6001,4,180000.00000,0,103,,,,102 012,0.00000000000,,3.00000000000,4.25000000000,C7,1004000026,0,False,,32,2,1,,0,-73.9828199,0,,1983,0,,3839,6.0000000,25v4,203036,400,22,96.1700000,,3.00000000000,,,,,40.0000000,3,0.00000,2,2103300.00000,E028,,26,R7B,540 EAST 5 STREET,9,32,N,1,,3A,10203,,"540 EAST 5TH STREETEQUITIES, INC.",,12c,,,,1200,,1,,,10032006001,0,,16326,2,24,15126,MN,,,,
14,82.0000000,1003200,10009,1,,,5,40.7237867,3,988919,0,False,0,6600,,1937,30.0800000,1,6001,2,144000.00000,0,103,,,,102 012,0.00000000000,,3.00000000000,4.36000000000,C6,1004000047,0,False,,32,2,1,,0,-73.9831555,0,,1987,0,,2900,6.0000000,25v4,202972,400,19,96.1700000,,3.00000000000,,,,,30.0000000,3,811163.00000,2,1074150.00000,E028,,47,R7B,223 EAST 4 STREET,9,32,N,1,,3Q,10203,,223-225 EAST 4TH STREET HDFC,,12c,,,,0,,1,,,10032006001,0,,12636,2,19,12636,MN,,,,
14,54.0000000,1003200,10009,1,,,5,40.7247090,3,988831,0,False,0,6600,,1920,25.0800000,1,6000,2,88200.00000,0,103,,,,102 021,0.00000000000,,3.00000000000,3.25000000000,C4,1004010056,2006,False,,32,2,1,,0,-73.9834727,1000,,1946,0,,2434,6.0000000,25v4,203308,401,24,97.0000000,,3.00000000000,,,,,25.0000000,3,0.00000,2,703800.00000,E028,,56,R7B,515 EAST 5 STREET,9,32,N,1,,3A,10203,,"515 EAST 5TH ST., LLC",,12c,,,,1000,,1,,,10032006000,0,,7910,2,25,6910,MN,,,,
14,80.0000000,1003200,10009,1,,,3,40.7228562,2,988933,0,False,1000,6600,,1900,24.0000000,1,5000,4,135000.00000,0,103,,,,102 012,0.00000000000,,4.00000000000,5.41000000000,C7,1003990038,0,True,,32,2,1,,0,-73.9831052,0,,1988,0,,1923,6.0000000,25v4,202633,399,10,80.0000000,,4.00000000000,C1-5,,,,24.0000000,3,0.00000,2,1675800.00000,E028,,38,R7A,38 AVENUE B,9,32,N,1,,3A,10203,,"199 EAST 3RD STREET, LLC.",,12c,,,,1000,,1,,,10032005000,0,,10398,2,15,9398,MN,,,,
14,98.0000000,1003200,10009,1,,,3,40.7235039,3,989051,0,False,3500,6600,,1920,48.0800000,1,6001,4,630000.00000,0,103,,,,102 012,0.00000000000,,4.00000000000,5.10000000000,C7,1004000039,2012,False,,32,2,1,,0,-73.9826793,0,,2012,0,,4808,6.0000000,25v4,202869,400,30,100.0000000,,4.00000000000,C1-5,,,,48.0000000,3,0.00000,2,3988800.00000,E028,,39,R7A,235 EAST 4 STREET,9,32,N,1,,3A,10203,,OPILLIO REAL ESTATE MANAGEMENT LLC,,12c,,,,3500,,1,,,10032006001,0,,24506,2,32,21006,MN,,,,
14,60.0000000,1003200,10009,1,,,5,40.7248651,0,989344,0,False,500,6600,,1900,24.6700000,1,7002,2,342450.00000,0,103,,,,102 021,0.00000000000,,4.00000000000,4.55000000000,C6,1004020039,0,True,,32,2,1,,0,-73.9816219,0,,1994,0,,1654,6.0000000,25v4,203365,402,5,70.0000000,,4.00000000000,C1-5,,X,,24.6700000,3,1665900.00000,2,1665900.00000,L011,,39,R7A,102 AVENUE B,9,32,N,1,,3A,10203,,102 AVE B HOUS DEVELOPMENT FUND CORP,,12c,,,,500,,1,,,10032007002,0,,7527,0,6,7027,MN,,,,
