bbl,address,bldgclass,numfloors,yearbuilt,roof_area_m2,canopy_area_m2,pv_kw_dc,annual_kwh,avg_daily_kwh,psh_daily_kwh
1002830072,162 EAST BROADWAY,C7,6.0,1900,102.96955902002858,87.5241251670243,17.50482503340486,21670.973391355215,59.37252983932936,64.41775612292989
1002820054,94 EAST BROADWAY,C7,6.0,1900,131.9613384425398,112.16713767615883,22.43342753523177,27772.58328861693,76.089269283882,82.55501332965291
1002930028,88 DIVISION STREET,C7,6.0,1900,152.13892988346151,129.31809040094228,25.86361808018846,32019.159183273314,87.7237237897899,95.17811453509353
1002920029,5 ELDRIDGE STREET,C7,6.0,1900,175.64839378636506,149.3011347184103,29.860226943682065,36966.960956278395,101.27934508569423,109.88563515275001
1002920028,7 ELDRIDGE STREET,C7,6.0,1900,127.76536561288594,108.60056077095305,21.720112154190613,26889.49884688798,73.66985985448761,79.93001272742146
1002920027,9 ELDRIDGE STREET,C7,6.0,1910,124.1622069382524,105.53787589751454,21.10757517950291,26131.1780722246,71.5922686910263,77.67587666057071
1002920026,11 ELDRIDGE STREET,C7,6.0,1900,184.3739133198649,156.71782632188516,31.343565264377034,38803.333797298765,106.3105035542432,115.34432017290749
1002920025,13 ELDRIDGE STREET,C7,6.0,1900,222.94473804313998,189.50302733666896,37.9006054673338,46920.94956855924,128.55054676317602,139.47422811978836
1002930020,3 ALLEN STREET,C7,6.0,1910,157.07621358749026,133.51478154936672,26.702956309873343,33058.2599116232,90.57057510033754,98.2668792203339
1002930015,70 CANAL STREET,C7,6.0,1910,167.31129622621248,142.2146017922806,28.44292035845612,35212.33540376868,96.47215179114707,104.66994691911853
1002940022,50 CANAL STREET,C7,6.0,1900,172.9674463034828,147.0223293579604,29.40446587159208,36402.728749031,99.73350342200273,108.20843440745885
1002990030,19 ORCHARD STREET,C1,6.0,1900,179.12288350114102,152.25445097596986,30.450890195193974,37698.20206165014,103.28274537438395,112.05927591831383
1002970022,13 ESSEX STREET,C7,6.0,1900,313.8446106035318,266.76791901300203,53.35358380260041,66051.7367476193,180.96366232224466,196.3411883935695
1002970022,13 ESSEX STREET,C7,6.0,1900,313.8446106035318,266.76791901300203,53.35358380260041,66051.7367476193,180.96366232224466,196.3411883935695
1002990027,25 ORCHARD STREET,C8,6.0,1900,209.83615342152626,178.36073040829731,35.67214608165946,44162.11684909442,120.99210095642306,131.2734975805068
1002990022,35 ORCHARD STREET,C7,6.0,1910,208.82638116865306,177.50242399335508,35.50048479867102,43949.60018075472,120.40986350891704,130.64178405910934
1002980018,56 HESTER STREET,C7,6.0,1930,296.0412719656375,251.6350811707919,50.32701623415838,62304.846097888076,170.69820848736458,185.20341974170285
1002980018,56 HESTER STREET,C7,6.0,1930,296.0412719656375,251.6350811707919,50.32701623415838,62304.846097888076,170.69820848736458,185.20341974170285
1002980015,58 HESTER STREET,C7,6.0,1900,341.8841754516334,290.60154913388834,58.12030982677767,71952.94356555076,197.13135223438562,213.88274016254184
1003100032,27 ESSEX STREET,C7,6.0,1910,98.02299429401687,83.31954514991433,16.663909029982868,20629.91937911879,56.52032706607888,61.32318523033695
1003100024,43 ESSEX STREET,C7,6.0,1910,201.33109483181292,171.13143060704098,34.2262861214082,42372.14221830335,116.08806087206398,125.95273292678218
