bbl,address,bldgclass,numfloors,yearbuilt,roof_area_m2,canopy_area_m2,pv_kw_dc,annual_kwh,avg_daily_kwh,psh_daily_kwh
1002830072,162 EAST BROADWAY,C7,6.0,1900,102.96920364075115,87.52382309463847,17.504764618927695,21670.898598232485,59.37232492666434,64.41753379765392
1002820054,94 EAST BROADWAY,C7,6.0,1900,131.96088357172238,112.16675103596401,22.433350207192802,27772.48755650469,76.08900700412244,82.55472876246951
1002930028,88 DIVISION STREET,C7,6.0,1900,152.13840543461563,129.31764461942328,25.863528923884658,32019.048807769206,87.7234213911485,95.17778643989554
1002920029,5 ELDRIDGE STREET,C7,6.0,1900,175.64778836685045,149.30062011182287,29.860124022364573,36966.833539687344,101.2789959991434,109.88525640230162
1002940022,50 CANAL STREET,C7,6.0,1900,172.96684959640174,147.02182215694148,29.4043644313883,36402.60316605871,99.73315935906496,108.20806110750894
1002920028,7 ELDRIDGE STREET,C7,6.0,1900,127.76492517000948,108.60018639450806,21.720037278901614,26889.4061512802,73.66960589391836,79.92973718635794
1002920027,9 ELDRIDGE STREET,C7,6.0,1910,124.16177890617887,105.53751207025203,21.10750241405041,26131.087988594405,71.59202188656002,77.67560888370551
1002920026,11 ELDRIDGE STREET,C7,6.0,1900,184.37327771431413,156.717286057167,31.343457211433403,38803.20002775455,106.31013706234124,115.34392253807492
1002920025,13 ELDRIDGE STREET,C7,6.0,1900,222.94396948765257,189.50237406450466,37.90047481290093,46920.787818371355,128.5501036119763,139.47374731147542
1002970022,13 ESSEX STREET,C7,6.0,1900,313.84352707869084,266.7669980168872,53.35339960337745,66051.50870898127,180.9630375588528,196.34051054042902
1002970022,13 ESSEX STREET,C7,6.0,1900,313.84352707869084,266.7669980168872,53.35339960337745,66051.50870898127,180.9630375588528,196.34051054042902
1002990030,19 ORCHARD STREET,C1,6.0,1900,179.12226546082783,152.25392564170366,30.450785128340733,37698.07198888583,103.28238901064611,112.0588892722939
1002990027,25 ORCHARD STREET,C8,6.0,1900,209.83542942222883,178.3601150088945,35.6720230017789,44161.96447620228,120.99168349644461,131.27304464654637
1002990022,35 ORCHARD STREET,C7,6.0,1910,208.82566047779434,177.5018114061252,35.500362281225044,43949.44850415661,120.40944795659344,130.64133319490816
1002980018,56 HESTER STREET,C7,6.0,1930,296.04024996734057,251.63421247223948,50.3268424944479,62304.631008126504,170.6976192003466,185.20278037956828
1002980018,56 HESTER STREET,C7,6.0,1930,296.04024996734057,251.63421247223948,50.3268424944479,62304.631008126504,170.6976192003466,185.20278037956828
1002980015,58 HESTER STREET,C7,6.0,1900,341.8829952342595,290.6005459491206,58.12010918982412,71952.69517700226,197.1306717178144,213.88200181855274
1003100032,27 ESSEX STREET,C7,6.0,1910,98.02265576331887,83.31925739882104,16.663851479764208,20629.84813194809,56.52013186835093,61.322973445532284
1003100040,61 HESTER STREET,C7,6.0,1915,279.84025920618717,237.86422032525908,47.57284406505182,58895.18095253415,161.3566601439292,175.0680661593907
1003100029,33 ESSEX STREET,C7,6.0,1900,177.20379918503417,150.62322930727905,30.12464586145581,37294.311576482294,102.1761960999515,110.85869677015738
1003100026,39 ESSEX STREET,C7,6.0,1900,162.335947709081,137.98555555271886,27.597111110543775,34165.22355485319,93.60335220507723,101.5573688868011
1003090025,45 LUDLOW STREET,C7,6.0,1910,144.93675169759055,123.19623894295196,24.639247788590396,30503.38876227491,83.57092811582167,90.67243186201266
