name,base_bbl,shape_area,construction_year,ground_elevation,mappluto_bbl,objectid,feature_code,shape_length,height_roof,last_status_type,bin,last_edited_date,geom_source,doitt_id,roof_area_m2_actual,canopy_area_m2,pv_kw_dc,annual_kwh,avg_daily_kwh,psh_daily_kwh,bbl,address,bldgclass,numfloors,yearbuilt,lon,lat
,1003550052,178.21484375,1900,26,1003550052,8831,2100,62.191929268659543,40.23,Constructed,1004335,2017-08-22 19:16:11+00:00,Photogrammetric,837090,102.26,86.92,17.38,21522.0,59.0,3.39,1003550048.0,188 NORFOLK STREET,,,,-73.98533609147174,40.721668073331834
,1003480017,365.44140625,1910,26,1003480017,689644,2100,111.21419471953639,51.63,Constructed,1004174,2017-08-22 19:28:47+00:00,Photogrammetric,494950,209.71,178.25,35.65,44136.0,120.9,3.39,1003480021.0,163 RIVINGTON STREET,,,,-73.98563993379004,40.719036244003604
,1003480011,226.74609375,1910,27,1003480011,868331,2100,66.533154956646527,68.69,Constructed,1004168,2017-08-22 19:04:47+00:00,Photogrammetric,239214,130.12,110.6,22.12,27385.0,75.0,3.39,1003480007.0,110 SUFFOLK STREET,,,,-73.98587693415841,40.7190000806932
,1003550075,124.89453125,1900,28,1003550075,504258,2100,58.969014074044047,43.33,Constructed,1004348,2017-08-22 17:32:46+00:00,Photogrammetric,450219,71.67,60.92,12.18,15083.0,41.3,3.39,1003550067.0,157 SUFFOLK STREET,,,,-73.98574220060922,40.72076262122376
,1003550061,147.3671875,1900,26,1003550061,575987,2100,50.086185379840614,38.51,Constructed,1004338,2017-08-22 18:11:48+00:00,Photogrammetric,775781,84.56,71.88,14.38,17797.0,48.8,3.39,1003550062.0,167 SUFFOLK STREET,,,,-73.98509297337357,40.72127285939681
,1003500039,389.1015625,1900,24,1003500039,54736,2100,79.043080258324082,53,Constructed,1004260,2019-02-28 21:24:02+00:00,Other (Manual),339216,223.28,189.79,37.96,46992.0,128.7,3.39,1003500030.0,168 STANTON STREET,,,,-73.98420676375743,40.720381921488745
,1003530060,317.3984375,1930,28,1003530060,923965,2100,97.8058023849483,59.37,Constructed,1004304,2017-08-22 19:03:42+00:00,Photogrammetric,478019,182.14,154.82,30.96,38333.0,105.0,3.39,,,,,,-73.98646397310837,40.71930907114938
,1003500025,210.55859375,1910,25,1003500025,126014,2100,60.982014887887487,50.79,Constructed,1083426,2017-08-22 18:22:32+00:00,Photogrammetric,333830,120.82,102.7,20.54,25428.0,69.7,3.39,1003500028.0,23 CLINTON STREET,,,,-73.98436799291156,40.72083524282209
,1003500035,264.05078125,1920,26,1003500035,588582,2100,71.988354347020973,54.67,Constructed,1004255,2017-08-22 18:11:33+00:00,Photogrammetric,500541,151.52,128.79,25.76,31889.0,87.4,3.39,1003500028.0,23 CLINTON STREET,,,,-73.98495368660218,40.72055113450354
,1003490020,311.44921875,1910,26,1003490020,246825,2100,88.427159970083778,59.34,Constructed,1004223,2017-08-22 18:37:38+00:00,Photogrammetric,439155,178.72,151.92,30.38,37614.0,103.1,3.39,1003440146.0,42 CLINTON STREET,,,,-73.9848892515988,40.71995852054033
,1003480048,225.1796875,1910,24,1003480048,356924,2100,64.4207300035553,48.51,Constructed,1004202,2017-08-22 18:35:44+00:00,Photogrammetric,519112,129.22,109.84,21.97,27196.0,74.5,3.39,1003480053.0,173 RIVINGTON STREET,,,,-73.98493161843369,40.718896994830935
,1003440145,398.3828125,1942,23,1003440145,159033,2100,99.280153032576436,45.91,Constructed,1004113,2017-08-22 17:50:33+00:00,Photogrammetric,211437,228.61,194.32,38.86,48114.0,131.8,3.39,1003440146.0,42 CLINTON STREET,,,,-73.98447581753085,40.71968342947112
,1003490022,319.37109375,1900,26,1003490022,319499,2100,88.973056109188988,59.03,Constructed,1004225,2017-08-22 17:35:23+00:00,Photogrammetric,707046,183.27,155.78,31.16,38570.0,105.7,3.39,1003490026.0,61 CLINTON STREET,,,,-73.98495206192028,40.719829548999336
,1003490037,1671.15234375,2018,26,1003497503,1037724,2100,163.52051660719195,76,Constructed,1090811,2019-01-22 17:36:31+00:00,Other (Manual),1288241,958.99,815.14,163.03,201829.0,553.0,3.39,1003490032.0,158 RIVINGTON STREET,,,,-73.98555721485307,40.719454647541774
,1003500023,300.0078125,1920,24,1003500023,30221,2100,101.81974723081142,58.96,Constructed,1004248,2017-08-22 17:33:34+00:00,Photogrammetric,404015,172.15,146.33,29.27,36231.0,99.3,3.39,1003500007.0,178 SUFFOLK STREET,,,,-73.98436818261342,40.72098298558048
,1003480048,362.046875,1920,24,1003480048,195351,2100,103.18114712336094,63.5,Constructed,1004203,2017-08-22 19:20:09+00:00,Photogrammetric,503554,207.76,176.6,35.32,43726.0,119.8,3.39,1003480053.0,173 RIVINGTON STREET,,,,-73.98482777925348,40.71884651619838
,1003550040,111.0234375,1900,28,1003550040,951503,2100,42.186258422996048,50.19,Constructed,1077184,2009-02-14 00:00:00+00:00,Photogrammetric,192420,63.7,54.15,10.83,13407.0,36.7,3.39,1003550067.0,157 SUFFOLK STREET,,,,-73.98561064617097,40.720985724766585
,1003550067,554.9453125,1900,28,1003550067,944434,2100,131.2174273025081,66.5,Constructed,1004342,2017-08-22 19:03:12+00:00,Photogrammetric,426783,318.43,270.67,54.13,67018.0,183.6,3.39,1003550067.0,157 SUFFOLK STREET,C1,6.0,1900.0,-73.98535448007898,40.720944698312344
,1003500001,218.07421875,1910,27,1003500001,592872,2100,59.401221520376438,54.89,Constructed,1004235,2017-08-22 19:30:15+00:00,Photogrammetric,273563,125.14,106.37,21.27,26337.0,72.2,3.39,1003550067.0,157 SUFFOLK STREET,,,,-73.98502031543609,40.72072489807302
,1003550072,170.90625,1900,25,1003550072,542254,2100,55.612639128267368,51.95,Constructed,1004345,2017-08-22 17:56:37+00:00,Photogrammetric,243799,98.07,83.36,16.67,20640.0,56.5,3.39,1003550067.0,157 SUFFOLK STREET,,,,-73.98552647090187,40.72069813846063
,1003490001,162.60546875,1930,27,1003497501,51395,2100,57.491784124147763,52,Constructed,1086117,2017-08-22 17:27:34+00:00,Other (Manual),961793,93.31,79.31,15.86,19638.0,53.8,3.39,1003490026.0,61 CLINTON STREET,,,,-73.98539310271526,40.71986652110161
,1003550074,178.13671875,1900,28,1003550074,832119,2100,67.269194926666927,49.84,Constructed,1004347,2017-08-22 19:31:40+00:00,Photogrammetric,455075,102.22,86.89,17.38,21514.0,58.9,3.39,1003550067.0,157 SUFFOLK STREET,,,,-73.98567567334455,40.72074913532639
,1003490001,159.76171875,1930,26,1003497501,1039388,2100,57.221094609144906,54,Constructed,1086120,2017-08-22 18:01:30+00:00,Other (Manual),961610,91.68,77.93,15.59,19295.0,52.9,3.39,1003490026.0,61 CLINTON STREET,,,,-73.98531700610606,40.72001221406811
,1003500021,268.859375,1910,23,1003500021,655157,2100,72.045236690033718,37.48,Constructed,1004247,2017-08-22 17:41:45+00:00,Photogrammetric,142037,154.28,131.14,26.23,32469.0,89.0,3.39,1003500051.0,299 EAST HOUSTON STREET,,,,-73.98426277726578,40.72109543567
,1003550051,159.14453125,1900,26,1003550051,623318,2100,58.219150909791132,39.92,Constructed,1004334,2017-08-22 18:10:48+00:00,Photogrammetric,272687,91.32,77.62,15.52,19219.0,52.7,3.39,1003550048.0,188 NORFOLK STREET,,,,-73.98539558123055,40.721691861445244
,1003500028,353.45703125,1920,25,1003500028,87950,2100,90.987393261716392,73.7,Constructed,1004250,2017-08-22 19:22:55+00:00,Photogrammetric,825051,202.82,172.4,34.48,42686.0,116.9,3.39,1003500028.0,23 CLINTON STREET,C7,6.0,1920.0,-73.98453125934981,40.720665250245425
,1003500014,316.01953125,1920,24,1003500014,564566,2100,71.566434641956889,50.49,Constructed,1004242,2017-08-22 17:56:26+00:00,Photogrammetric,8686,181.34,154.14,30.83,38165.0,104.6,3.39,1003500012.0,271 EAST HOUSTON STREET,,,,-73.98452152579696,40.721437699321584
,1003500033,262.19140625,1920,25,1003500033,218500,2100,71.980579073058237,55.94,Constructed,1004253,2017-08-22 18:21:03+00:00,Photogrammetric,542745,150.45,127.88,25.58,31664.0,86.8,3.39,1003500030.0,168 STANTON STREET,,,,-73.98478435153686,40.720499327105905
,1003480012,227.53515625,1900,27,1003480012,126927,2100,70.931930046866839,56.97,Constructed,1004169,2017-08-22 18:05:13+00:00,Photogrammetric,164929,130.58,110.99,22.2,27481.0,75.3,3.39,1003480007.0,110 SUFFOLK STREET,,,,-73.98584515088606,40.71906278401772
,1003550041,1069.37890625,1850,28,1003550041,773266,2100,138.73856083560625,68.84,Constructed,1004329,2020-01-28 17:17:40+00:00,Photogrammetric,753664,613.63,521.59,104.32,129145.0,353.8,3.39,1003550044.0,178 NORFOLK STREET,,,,-73.98566722822957,40.72115085276417
