bbl,address,bldgclass,numfloors,yearbuilt,roof_area_m2_actual,canopy_area_m2,pv_kw_dc,annual_kwh,avg_daily_kwh,psh_daily_kwh
1006110022.0,28 CHARLES STREET,C7,6.0,1910.0,,191.16522637669107,38.23304527533821,47332.51005086871,129.67810972840743,140.69760661324463
1006100030.0,39 CHRISTOPHER STREET,C7,6.0,1908.0,,108.45204984293741,21.690409968587485,26852.727541111308,73.56911655098989,79.82070868440195
1006100028.0,35 CHRISTOPHER STREET,C7,6.0,1908.0,,145.47581955510987,29.095163911021974,36019.8129218452,98.68441896395946,107.07020319256085
1005010004.0,419 WEST BROADWAY,C6,6.0,1884.0,,186.97183574066648,37.3943671481333,46294.22652938902,126.83349734079185,137.61127110513053
1005020023.0,152 PRINCE STREET,C7,6.0,1907.0,,281.55306978400387,56.31061395680078,69712.54007851936,190.99326048909415,207.22305936102686
1005160002.0,128 THOMPSON STREET,C7,6.0,1904.0,,195.87975031296318,39.17595006259264,48499.82617748969,132.8762361027115,144.1674962303409
1005020016.0,160 PRINCE STREET,C7,6.0,1904.0,,270.1657762137794,54.03315524275588,66893.04619053178,183.26861970008707,198.84201129334164
1005020012.0,110 THOMPSON STREET,C6,6.0,1900.0,,270.1657762137794,54.03315524275588,66893.04619053178,183.26861970008707,198.84201129334164
1005160001.0,163 PRINCE STREET,C6,6.0,1902.0,,270.3143840768666,54.06287681537332,66929.84149743218,183.36942876008817,198.95138668057382
1002370011.0,146 MULBERRY STREET,C7,6.0,1900.0,,170.86023052849427,34.172046105698854,42304.99307885518,115.90409062700049,125.75312966897178
1002000033.0,78 BAYARD STREET,C7,6.0,1910.0,,209.48416902162617,41.89683380432524,51868.28024975465,142.10487739658808,154.18034839991688
1002020002.0,10 ELIZABETH STREET,C7,6.0,1915.0,,173.7013378284168,34.74026756568336,43008.451246316,117.83137327757808,127.84418464171478
1002000006.0,78 MULBERRY STREET,C7,6.0,1915.0,,258.4950480174963,51.69900960349926,64003.37388913209,175.3517092852934,190.2523553408773
1002350016.0,150 BAXTER STREET,C7,6.0,1900.0,,171.53082442652038,34.30616488530408,42471.032128006445,116.3589921315245,126.246686777919
1002380004.0,124 MOTT STREET,C7,6.0,1912.0,,255.06188614447805,51.012377228895616,63153.323009372776,173.02280276540486,187.72554820233586
1004700032.0,206 GRAND STREET,C7,6.0,1909.0,,157.40315135867726,31.480630271735453,38973.02027640849,106.7753980175575,115.84871939998646
1002050018.0,174 HESTER STREET,C7,6.0,1910.0,,137.9347648895392,27.586952977907842,34152.64778664991,93.5688980456162,101.51998695870085
1002000029.0,61 MOTT STREET,C7,6.0,1910.0,,175.72084405943573,35.14416881188715,43508.48098911629,119.20131777840079,129.3305412277447
1002060004,119 BAXTER STREET,C7,,,,160.3579788305392,32.07159576610784,39704.63555844151,108.77982344778495,118.02347241927686
1002060016.0,182 HESTER STREET,C7,6.0,1910.0,,178.1591935643371,35.63183871286742,44112.216326529866,120.85538719597224,131.1251664633521
1002370012.0,191 GRAND STREET,C7,6.0,1900.0,,308.58798999910084,61.71759799982017,76406.38632377738,209.33256527062295,227.12076063933824
1002010033.0,68 BAYARD STREET,C7,6.0,1915.0,,163.18296633671886,32.63659326734378,40404.1024649716,110.69617113690849,120.10266322382509
1002000024.0,69 MOTT STREET,C7,6.0,1905.0,,186.14112229461693,37.228224458923385,46088.54188014715,126.26997775382782,136.99986600883807
1001640029.0,43 MOTT STREET,C7,6.0,1915.0,,162.07907253246125,32.415814506492254,40130.77835903741,109.9473379699655,119.29019738389148
1002060004.0,119 BAXTER STREET,C7,6.0,1910.0,,160.3579788305392,32.07159576610784,39704.63555844151,108.77982344778495,118.02347241927686
1002370036.0,191 HESTER STREET,C7,6.0,1900.0,,109.39808329107692,21.879616658215383,27086.965422870646,74.21086417224835,80.51698930223262
1002380040.0,173 HESTER STREET,C7,6.0,1910.0,,348.6435046581211,69.72870093162423,86324.1317533508,236.50447055712547,256.6016194283772
1002010001.0,72 BAYARD STREET,C7,6.0,1910.0,,248.03839505017427,49.60767901003486,61414.306614423156,168.25837428609083,182.5562587569283
1002370029.0,121 MOTT STREET,C7,6.0,1912.0,,195.20566252283916,39.041132504567834,48332.92204065498,132.41896449494516,143.67136761680962
1002010014.0,174 CANAL STREET,C7,6.0,1910.0,,247.34360699958035,49.46872139991607,61242.2770930961,167.7870605290304,182.04489475169112
1002370028.0,123 MOTT STREET,C7,6.0,1912.0,,167.46812416058737,33.493624832117476,41465.10754216144,113.60303436208613,123.2565393821923
1002050004.0,106 MULBERRY STREET,C7,6.0,1915.0,,265.01290620308725,53.00258124061745,65617.19557588441,179.77313856406687,195.04949896547222
1002060012.0,190 HESTER STREET,C7,6.0,1910.0,,153.81192496986722,30.762384993973445,38083.83262253912,104.3392674590113,113.20557677782227
1002050023.0,111 MOTT STREET,C7,6.0,1900.0,,136.85074516249455,27.37014903249891,33884.244502233654,92.83354658146207,100.722148439596
1002010030.0,62 BAYARD STREET,C7,6.0,1910.0,,185.58424983425206,37.11684996685042,45950.660258960816,125.89221988756388,136.59000787800954
1001640022.0,81 BAYARD STREET,C7,6.0,1915.0,,92.2637818308682,18.45275636617364,22844.51238132297,62.5877051543095,67.906143427519
1002000028.0,63 MOTT STREET,C7,6.0,1910.0,,172.91340004597677,34.58268000919536,42813.35785138385,117.29687082570918,127.2642624338389
1002360033.0,197 HESTER STREET,C7,6.0,1910.0,,283.8854486783454,56.77708973566909,70290.03709275833,192.57544408974886,208.93969022726225
1001990024.0,77 MULBERRY STREET,C7,6.0,1915.0,,144.71470274886403,28.942940549772807,35831.36040061874,98.16811068662668,106.51002122316393
1001640013.0,54 MULBERRY STREET,C7,6.0,1915.0,,298.7361811386353,59.74723622772706,73967.07844992609,202.64952999979752,219.86982931803556
1001640016,60 MULBERRY STREET,C7,,,,151.7370816231988,30.347416324639763,37570.101409904026,102.93178468466856,111.67849207467432
1001990005.0,87 BAXTER STREET,C7,6.0,1915.0,,203.8273459320766,40.765469186415324,50467.65085278217,138.26753658296485,150.01692660600838
1001990003.0,83 BAXTER STREET,C7,6.0,1915.0,,265.01254334452153,53.00250866890431,65617.10573210353,179.77289241672202,195.04923190156785
1001640016.0,60 MULBERRY STREET,C7,6.0,1915.0,,151.7370816231988,30.347416324639763,37570.101409904026,102.93178468466856,111.67849207467432
1005590043.0,139 EAST 13 STREET,C4,6.0,1900.0,,129.29403124702637,25.858806249405276,32013.20213676373,87.70740311442118,95.16040699781142
1001630028.0,53 BAYARD STREET,C7,6.0,1915.0,,115.44457539943406,23.088915079886814,28584.076868899876,78.31253936684898,84.96720749398348
1002800055.0,23 CATHERINE STREET,C7,6.0,1900.0,,161.97974565249152,32.3959491304983,40106.1850235569,109.87995896864904,119.21709280023374
1002800052.0,17 CATHERINE STREET,C7,6.0,1900.0,,310.07547455832565,62.01509491166513,76774.68750064143,210.34160959079844,228.21554927492767
1002770049.0,251/2 CATHERINE STREET,C7,6.0,1900.0,,144.51739434964662,28.903478869929327,35782.506840972506,98.03426531773289,106.36480224133992
