name,bbl,shape_area,construction_year,ground_elevation,mappluto_bbl,objectid,feature_code,shape_length,height_roof,last_status_type,bin,last_edited_date,geom_source,doitt_id,pv_kw_dc,annual_kwh,avg_daily_kwh,psh_daily_kwh,canopy_area_m2,address,bldgclass,roof_area_m2_actual,numfloors,yearbuilt,lon,lat
,1006110022.0,213.7578125,1900,28,1002760031,334308,2100,62.61981960915756,64.64,Constructed,1003309,2017-08-22 17:47:44+00:00,Photogrammetric,632359,38.23304527533821,47332.51005086871,70.74433931758672,140.69760661324463,191.16522637669107,28 CHARLES STREET,C7,,6.0,1910.0,-73.99480043538074,40.7121205346042
,1006100030.0,310.3359375,1910,30,1002770021,62888,2100,97.689872224615584,75,Constructed,1003339,2017-08-22 18:56:07+00:00,Other (Manual),466469,21.690409968587485,26852.727541111308,102.70709296138384,79.82070868440195,108.4520498429374,39 CHRISTOPHER STREET,C7,,6.0,1908.0,-73.99465481155661,40.71247825072798
,1006100028.0,482.3984375,1910,31,1002770022,436144,2100,122.16687417636125,70.29,Constructed,1003340,2017-08-22 17:46:16+00:00,Photogrammetric,260329,29.095163911021974,36019.8129218452,159.64878925252154,107.07020319256084,145.4758195551099,35 CHRISTOPHER STREET,C7,,6.0,1908.0,-73.99464205198224,40.71258393610055
,1005010004.0,271.4453125,1920,30,1002770032,727337,2100,90.008199739053779,65.32,Constructed,1003344,2017-08-22 18:32:07+00:00,Photogrammetric,370970,37.3943671481333,46294.22652938902,89.83524608601155,137.61127110513053,186.97183574066648,419 WEST BROADWAY,C6,,6.0,1884.0,-73.99534206212317,40.71276267723512
,1005020023.0,294.328125,1920,30,1002770031,906010,2100,98.656356627389059,71.63,Constructed,1003343,2017-08-22 18:25:16+00:00,Photogrammetric,204205,56.31061395680078,69712.54007851936,97.40758167061554,207.22305936102688,281.55306978400387,152 PRINCE STREET,C7,,6.0,1907.0,-73.99525881081438,40.712767049442135
,1005160002.0,293.25390625,1900,30,1002770030,834544,2100,97.77571059046015,72.08,Constructed,1003342,2017-08-22 19:31:40+00:00,Photogrammetric,95025,39.17595006259264,48499.82617748969,97.04658490829823,144.1674962303409,195.8797503129632,128 THOMPSON STREET,C7,,6.0,1904.0,-73.9951713472963,40.71277404135552
,1005020016.0,278.0703125,1900,31,1002770029,440613,2100,91.469207417755172,66.33,Constructed,1003341,2017-08-22 17:33:53+00:00,Photogrammetric,114151,54.03315524275588,66893.04619053178,92.02416720988307,198.84201129334164,270.1657762137794,160 PRINCE STREET,C7,,6.0,1904.0,-73.99507102636797,40.71278213011105
,1005020012.0,514.57421875,1920,33,1002750020,622553,2100,92.7972031181805,71.12,Constructed,1003280,2017-08-22 17:30:02+00:00,Photogrammetric,546055,54.03315524275588,66893.04619053178,170.29644645374066,198.84201129334164,270.1657762137794,110 THOMPSON STREET,C6,,6.0,1900.0,-73.99419530756417,40.712844079091376
,1005160001.0,204.640625,1910,38,1002810025,931158,2100,70.7215781367817,71.68,Constructed,1003500,2017-08-22 17:39:41+00:00,Photogrammetric,797193,54.06287681537332,66929.84149743218,67.72087030401335,198.95138668057385,270.3143840768666,163 PRINCE STREET,C6,,6.0,1902.0,-73.99550109173293,40.71380251047462
,1002370011.0,223.91796875,1910,38,1002810026,826539,2100,71.367644731323111,71.4,Constructed,1003501,2017-08-22 18:12:41+00:00,Photogrammetric,525532,34.172046105698854,42304.99307885518,74.10713605178523,125.75312966897178,170.86023052849427,146 MULBERRY STREET,C7,,6.0,1900.0,-73.995413114274,40.71381875210691
,1002000033.0,257.52734375,1920,38,1002820007,572203,2100,88.10924721706219,65.41,Constructed,1003530,2017-08-22 19:08:42+00:00,Photogrammetric,402320,41.89683380432524,51868.28024975465,85.22726685898141,154.18034839991688,209.48416902162617,78 BAYARD STREET,C7,,6.0,1910.0,-73.99348547416662,40.713297681285646
,1002020002.0,299.83203125,1920,36,1002820011,723391,2100,94.690173476984981,68.33,Constructed,1003531,2017-08-22 19:05:28+00:00,Photogrammetric,96855,34.74026756568336,43008.451246316,99.22315046002605,127.84418464171478,173.7013378284168,10 ELIZABETH STREET,C7,,6.0,1915.0,-73.9931254946597,40.71334685046715
,1002000006.0,499.35546875,1910,35,1002830049,994871,2100,110.8687936997605,66.28,Constructed,1003582,2017-08-22 19:24:25+00:00,Photogrammetric,46550,51.69900960349926,64003.37388913209,165.2595008831245,190.2523553408773,258.4950480174963,78 MULBERRY STREET,C7,,6.0,1915.0,-73.99214614310421,40.71336395453335
,1002350016.0,230.58203125,1920,34,1002830010,42670,2100,73.701404141182138,61.22,Constructed,1003560,2017-08-22 18:32:45+00:00,Photogrammetric,569871,34.30616488530408,42471.032128006445,76.31128161629914,126.246686777919,171.53082442652038,150 BAXTER STREET,C7,,6.0,1900.0,-73.99130310629768,40.71345738879907
,1002380004.0,281.30078125,1900,36,1002830006,576621,2100,99.9105031445439,65.83,Constructed,1003556,2017-08-22 19:08:01+00:00,Photogrammetric,212003,51.012377228895616,63153.323009372776,93.09094610116269,187.72554820233583,255.06188614447805,124 MOTT STREET,C7,,6.0,1912.0,-73.99167469167944,40.71346431013378
,1004700032.0,305.18359375,1920,38,1002820030,809965,2100,96.997910726759841,72.14,Constructed,1003540,2017-08-22 17:31:34+00:00,Photogrammetric,543632,31.480630271735453,38973.02027640849,100.99913362479865,115.84871939998646,157.40315135867726,206 GRAND STREET,C7,,6.0,1909.0,-73.99352326911935,40.71355682284972
,1002050018.0,407.27734375,1920,38,1002820027,242147,2100,100.02314625316774,60.73,Constructed,1003537,2017-08-22 17:49:27+00:00,Photogrammetric,211521,27.58695297790784,34152.64778664991,134.78362952116095,101.51998695870084,137.9347648895392,174 HESTER STREET,C7,,6.0,1910.0,-73.9932524643899,40.71356214582808
,1002000029.0,306.58203125,1920,38,1002820028,598638,2100,100.67250856038146,62.25,Constructed,1003538,2017-08-22 17:55:52+00:00,Photogrammetric,3153,35.14416881188715,43508.48098911629,101.4590982037365,129.3305412277447,175.72084405943573,61 MOTT STREET,C7,,6.0,1910.0,-73.99334481447418,40.713568346505646
,1002060004.0,233.2578125,1900,38,1002830040,655193,2100,85.593431283884541,67.34,Constructed,1003577,2017-08-22 18:45:22+00:00,Photogrammetric,247586,32.07159576610784,39704.63555844151,77.19624833195593,118.02347241927686,160.3579788305392,119 BAXTER STREET,C7,,,,-73.99188111366645,40.71370496156649
,1002060016.0,229.921875,1900,36,1002820054,956313,2100,64.984474772819325,69.3,Constructed,1003546,2017-08-22 17:27:22+00:00,Photogrammetric,20373,35.63183871286742,44112.216326529866,76.08900700412244,131.1251664633521,178.1591935643371,182 HESTER STREET,C7,,6.0,1910.0,-73.9935802528119,40.71396225776463
,1002370012.0,265.0859375,1900,39,1002930028,766204,2100,84.114628097081464,74.49,Constructed,1003793,2017-08-22 18:13:57+00:00,Photogrammetric,422323,61.71759799982017,76406.38632377738,87.7234213911485,227.12076063933824,308.58798999910084,191 GRAND STREET,C7,,6.0,1900.0,-73.99372808019778,40.71447493402432
,1002010033.0,273.671875,1910,42,1002930020,111489,2100,98.731940769617765,61.27,Constructed,1003792,2017-08-22 19:22:34+00:00,Photogrammetric,638772,32.63659326734378,40404.1024649716,90.57026278589869,120.10266322382508,163.18296633671886,68 BAYARD STREET,C7,,6.0,1915.0,-73.99313360212167,40.714691234099256
,1002000024.0,301.38671875,1900,40,1002940022,634512,2100,85.389373992991722,67.34,Constructed,1003799,2017-08-22 18:45:54+00:00,Photogrammetric,307464,37.228224458923385,46088.54188014715,99.73315935906498,136.99986600883807,186.1411222946169,69 MOTT STREET,C7,,6.0,1905.0,-73.99181265593211,40.71470469510084
,1001640029.0,291.53125,1910,42,1002930015,882504,2100,76.863414375330336,67.8,Constructed,1003788,2017-08-22 19:27:05+00:00,Photogrammetric,1203940,32.415814506492254,40130.77835903741,96.47181907071715,119.29019738389148,162.07907253246125,43 MOTT STREET,C7,,6.0,1915.0,-73.99287969940526,40.71503260130395
,1002060004.0,312.1171875,1900,42,1002990030,727053,2100,91.718472760819651,61.7,Constructed,1003872,2017-08-22 19:33:04+00:00,Photogrammetric,338429,32.07159576610784,39704.63555844151,103.28238901064611,118.02347241927686,160.3579788305392,119 BAXTER STREET,C7,,6.0,1910.0,-73.99193423661143,40.7153548206493
,1002370036.0,365.6171875,1900,41,1002990027,952598,2100,91.416996439161011,64.75,Constructed,1003869,2017-08-22 18:07:22+00:00,Photogrammetric,590231,21.879616658215383,27086.96542287065,120.99168349644461,80.51698930223262,109.39808329107692,191 HESTER STREET,C7,,6.0,1900.0,-73.99185912238367,40.71548620613958
,1002380040.0,262.890625,1930,41,1003000004,516832,2100,89.126977978974423,64.42,Constructed,1003877,2017-08-22 19:12:12+00:00,Photogrammetric,237887,69.72870093162423,86324.1317533508,86.99194162909731,256.6016194283772,348.6435046581211,173 HESTER STREET,C7,,6.0,1910.0,-73.99295846058777,40.7157456830133
,1002010001.0,363.8515625,1910,39,1002990022,926620,2100,94.945389036341624,66.75,Constructed,1003865,2017-08-22 19:03:41+00:00,Photogrammetric,122478,49.60767901003486,61414.30661442316,120.40944795659344,182.5562587569283,248.03839505017427,72 BAYARD STREET,C7,,6.0,1910.0,-73.99168971271844,40.71579738642718
,1002370029.0,258.26953125,1930,41,1003000005,336415,2100,88.71680061684313,64.58,Constructed,1003878,2017-08-22 18:02:10+00:00,Photogrammetric,170223,39.04113250456784,48332.92204065498,85.46400606929181,143.67136761680962,195.2056625228392,121 MOTT STREET,C7,,6.0,1912.0,-73.99292541833987,40.715810184656746
,1002010014.0,254.5078125,1930,42,1003000006,562021,2100,88.512460991053189,63.18,Constructed,1003879,2017-08-22 17:56:25+00:00,Photogrammetric,567829,49.46872139991607,61242.2770930961,84.2218310536627,182.04489475169112,247.34360699958037,174 CANAL STREET,C7,,6.0,1910.0,-73.99289331978174,40.715874261900616
,1002370028.0,306.03515625,1900,41,1002920029,111547,2100,78.817185816096668,58.72,Constructed,1003774,2017-08-22 18:59:50+00:00,Photogrammetric,489438,33.49362483211748,41465.10754216144,101.27899599914339,123.2565393821923,167.46812416058737,123 MOTT STREET,C7,,6.0,1912.0,-73.99403483603058,40.71458948980483
,1002050004.0,222.6171875,1900,42,1002920028,638796,2100,63.997501685316138,57.5,Constructed,1003773,2017-08-22 18:10:47+00:00,Photogrammetric,149546,53.00258124061745,65617.19557588441,73.66960589391836,195.04949896547225,265.01290620308725,106 MULBERRY STREET,C7,,6.0,1915.0,-73.99396950595715,40.71464515766899
,1002060012.0,216.33984375,1910,42,1002920027,993962,2100,63.420917133398888,58.76,Constructed,1003772,2017-08-22 17:26:53+00:00,Photogrammetric,196771,30.762384993973445,38083.83262253912,71.59202188656002,113.20557677782227,153.81192496986722,190 HESTER STREET,C7,,6.0,1910.0,-73.99393696505939,40.714709199500305
,1002050023.0,321.2421875,1900,42,1002920026,319572,2100,83.995632800768675,61.1,Constructed,1003771,2017-08-22 18:55:13+00:00,Photogrammetric,92002,27.37014903249891,33884.244502233654,106.31013706234124,100.722148439596,136.85074516249455,111 MOTT STREET,C7,,6.0,1900.0,-73.99394320532646,40.714785926513365
,1002010030.0,388.44921875,1900,42,1002920025,1063942,2100,102.09559912967798,62,Constructed,1003770,2017-08-22 17:57:24+00:00,Other (Manual),609605,37.11684996685042,45950.660258960816,128.5501036119763,136.59000787800954,185.5842498342521,62 BAYARD STREET,C7,,6.0,1910.0,-73.99394569561257,40.714859982525745
,1001640022.0,371.65234375,1900,45,1002920010,713058,2100,105.56042704414649,71.32,Constructed,1003759,2017-08-22 18:26:36+00:00,Photogrammetric,642428,18.45275636617364,22844.51238132297,122.98602338891368,67.906143427519,92.2637818308682,81 BAYARD STREET,C7,,6.0,1915.0,-73.9941735263685,40.715218294390446
