bbl,address,bldgclass,pv_kw_dc,annual_kwh,avg_daily_kwh,psh_daily_kwh,canopy_area_m2,lat,lon
1003740041,41 AVENUE D,C7,49.47449421795685,61249.42384183058,167.80664066254954,182.0661387220812,247.37247108978426,40.72150199186447,-73.97793892118594
1003940052,633 EAST 11 STREET,C6,30.45371401189091,37701.697946720946,103.29232314170122,112.06966756375856,152.26857005945453,40.72700227669511,-73.97780962583515
1003790057,713 EAST 9 STREET,C4,40.98491700278905,50739.32724945284,139.011855477953,150.82449457026368,204.92458501394523,40.72515276563129,-73.97714765584222
1003940053,631 EAST 11 STREET,C4,38.523842915252835,47692.51752908301,130.6644315865288,141.76774192813045,192.61921457626417,40.727036233372935,-73.97791371935327
1003750030,742 EAST 6 STREET,C6,46.149463976148894,57133.03640247233,156.52886685608857,169.83002743222792,230.74731988074444,40.72264667739159,-73.97777046745756
1003760018,250 EAST 7 STREET,C6,30.416088757184042,37655.117881393846,103.16470652436671,111.93120662643726,152.0804437859202,40.72349296889391,-73.97795849836747
1003940050,635 EAST 11 STREET,C4,29.455442371189093,36465.8376555321,99.90640453570438,108.39602792597587,147.27721185594547,40.72697237735521,-73.97772878245542
1003790017,416 EAST 10 STREET,C6,43.932088703511674,54387.925814947455,149.0080159313629,161.67008642892296,219.66044351755835,40.725320147531086,-73.97673891279761
1003760031,276 EAST 7 STREET,C6,32.22233997465237,39891.25688861964,109.29111476334148,118.57821110672072,161.11169987326184,40.7231165753834,-73.97705978943834
1003790015,412 EAST 10 STREET,C6,37.86105823933961,46871.99010030244,128.41641123370533,139.32869432076978,189.30529119669805,40.72538755576783,-73.9768652216492
1003760028,272 EAST 7 STREET,C4,32.59493855234242,40352.533927799916,110.55488747342443,119.9493738726201,162.97469276171208,40.72319420305243,-73.97724893324735
1003750039,67 AVENUE D,C7,37.06323195221211,45884.28115683859,125.71035933380435,136.39269358414055,185.31615976106053,40.72230507019529,-73.9773566539266
1003760019,254 EAST 7 STREET,C6,39.123687176026024,48435.12472392022,132.69897184635676,143.97516880777576,195.6184358801301,40.723451129459605,-73.9778563884357
1003780009,140 AVENUE C,C7,42.16644589412908,52202.060016931806,143.01934251214195,155.17252089039502,210.83222947064542,40.72507519963376,-73.97781954243095
1003750042,63 AVENUE D,C7,29.274692032018123,36242.06873563844,99.29333900174915,107.73086667782668,146.37346016009062,40.72216280516745,-73.97745152361988
1003780039,115 AVENUE D,C7,33.054731681603435,40921.75782182506,112.11440499130153,121.64141258830064,165.27365840801716,40.723892576410286,-73.97612745429758
1003770016,368 EAST 8 STREET,C6,50.74705011520802,62824.84804262753,172.12287134966445,186.7491444239655,253.73525057604007,40.72416781205672,-73.9776851108388
1003780004,134 AVENUE C,C7,63.83309489229265,79025.3714766583,216.5078670593378,234.9057892036369,319.16547446146325,40.72488644251051,-73.97796760523669
1003760041,745 EAST 6 STREET,C4,50.98842964091478,63123.6758954525,172.94157779576028,187.63742107856638,254.9421482045739,40.72287475287067,-73.97727436042678
