bbl,address,bldgclass,numfloors,yearbuilt,roof_area_m2_actual,canopy_area_m2,pv_kw_dc,annual_kwh,avg_daily_kwh,psh_daily_kwh
,,,,,128.37,109.12,21.82,27018.0,74.0,3.39
,,,,,831.89,707.1,141.42,175079.0,479.7,3.39
,,,,,202.73,172.32,34.46,42667.0,116.9,3.39
,,,,,143.48,121.95,24.39,30196.0,82.7,3.39
,,,,,697.5,592.88,118.58,146796.0,402.2,3.39
,,,,,1277.9,1086.21,217.24,268946.0,736.8,3.39
,,,,,97.14,82.57,16.51,20445.0,56.0,3.39
,,,,,690.26,586.72,117.34,145272.0,398.0,3.39
,,,,,164.14,139.52,27.9,34546.0,94.6,3.39
1003740041.0,41 AVENUE D,C7,6.0,1900.0,291.03,247.37,49.47,61250.0,167.8,3.39
1003940052.0,633 EAST 11 STREET,C6,6.0,1937.0,179.14,152.27,30.45,37702.0,103.3,3.39
,,,,,53.39,45.38,9.08,11236.0,30.8,3.39
,,,,,276.09,234.68,46.94,58106.0,159.2,3.39
,,,,,872.49,741.62,148.32,183624.0,503.1,3.39
,,,,,116.46,98.99,19.8,24511.0,67.2,3.39
1003790057.0,713 EAST 9 STREET,C4,6.0,1900.0,241.09,204.93,40.99,50740.0,139.0,3.39
1003940053.0,631 EAST 11 STREET,C4,6.0,1910.0,226.61,192.62,38.52,47693.0,130.7,3.39
,,,,,191.84,163.06,32.61,40374.0,110.6,3.39
,,,,,329.93,280.44,56.09,69437.0,190.2,3.39
,,,,,98.36,83.6,16.72,20700.0,56.7,3.39
,,,,,600.09,510.08,102.02,126295.0,346.0,3.39
1003750030.0,742 EAST 6 STREET,C6,6.0,1902.0,271.47,230.75,46.15,57133.0,156.5,3.39
1003760018.0,250 EAST 7 STREET,C6,6.0,1928.0,178.92,152.08,30.42,37655.0,103.2,3.39
,,,,,166.02,141.11,28.22,34940.0,95.7,3.39
1003940050.0,635 EAST 11 STREET,C4,6.0,1900.0,173.27,147.28,29.46,36466.0,99.9,3.39
,,,,,139.64,118.69,23.74,29388.0,80.5,3.39
,,,,,160.36,136.31,27.26,33749.0,92.5,3.39
,,,,,134.36,114.21,22.84,28278.0,77.5,3.39
,,,,,713.69,606.64,121.33,150203.0,411.5,3.39
1003790017.0,416 EAST 10 STREET,C6,6.0,1900.0,258.42,219.66,43.93,54388.0,149.0,3.39
,,,,,1372.01,1166.21,233.24,288754.0,791.1,3.39
,,,,,107.26,91.17,18.23,22574.0,61.8,3.39
,,,,,139.09,118.22,23.64,29272.0,80.2,3.39
,,,,,305.4,259.59,51.92,64274.0,176.1,3.39
,,,,,160.64,136.54,27.31,33808.0,92.6,3.39
1003760031.0,276 EAST 7 STREET,C6,6.0,1920.0,189.54,161.11,32.22,39891.0,109.3,3.39
,,,,,115.53,98.2,19.64,24314.0,66.6,3.39
,,,,,709.23,602.85,120.57,149266.0,408.9,3.39
,,,,,1200.93,1020.79,204.16,252748.0,692.5,3.39
,,,,,191.24,162.55,32.51,40248.0,110.3,3.39
,,,,,162.48,138.11,27.62,34195.0,93.7,3.39
,,,,,723.89,615.31,123.06,152350.0,417.4,3.39
1003790015.0,412 EAST 10 STREET,C6,6.0,1930.0,222.71,189.31,37.86,46872.0,128.4,3.39
,,,,,142.04,120.74,24.15,29895.0,81.9,3.39
,,,,,99.58,84.64,16.93,20957.0,57.4,3.39
,,,,,698.05,593.35,118.67,146912.0,402.5,3.39
,,,,,159.88,135.9,27.18,33648.0,92.2,3.39
,,,,,143.79,122.22,24.44,30262.0,82.9,3.39
,,,,,111.8,95.03,19.01,23530.0,64.5,3.39
,,,,,138.61,117.81,23.56,29171.0,79.9,3.39
,,,,,92.5,78.62,15.72,19467.0,53.3,3.39
,,,,,3534.36,3004.21,600.84,743841.0,2037.9,3.39
,,,,,108.73,92.42,18.48,22883.0,62.7,3.39
,,,,,320.21,272.18,54.44,67392.0,184.6,3.39
,,,,,118.67,100.87,20.17,24976.0,68.4,3.39
,,,,,168.09,142.87,28.57,35375.0,96.9,3.39
,,,,,209.12,177.75,35.55,44011.0,120.6,3.39
,,,,,709.89,603.41,120.68,149404.0,409.3,3.39
,,,,,247.56,210.42,42.08,52101.0,142.7,3.39
,,,,,129.59,110.16,22.03,27275.0,74.7,3.39
,,,,,111.91,95.12,19.02,23552.0,64.5,3.39
,,,,,64.96,55.22,11.04,13671.0,37.5,3.39
1003760028.0,272 EAST 7 STREET,C4,6.0,1900.0,191.74,162.98,32.6,40353.0,110.6,3.39
,,,,,278.7,236.89,47.38,58654.0,160.7,3.39
,,,,,109.17,92.79,18.56,22975.0,62.9,3.39
1003750039.0,67 AVENUE D,C7,6.0,1910.0,218.02,185.32,37.06,45884.0,125.7,3.39
,,,,,533.97,453.87,90.77,112378.0,307.9,3.39
1003760019.0,254 EAST 7 STREET,C6,6.0,1910.0,230.14,195.62,39.12,48435.0,132.7,3.39
,,,,,100.38,85.32,17.06,21125.0,57.9,3.39
,,,,,204.26,173.62,34.72,42988.0,117.8,3.39
1003780009.0,140 AVENUE C,C7,6.0,1920.0,248.04,210.83,42.17,52202.0,143.0,3.39
,,,,,70.11,59.59,11.92,14755.0,40.4,3.39
,,,,,127.39,108.28,21.66,26811.0,73.5,3.39
,,,,,101.48,86.26,17.25,21357.0,58.5,3.39
,,,,,706.66,600.66,120.13,148723.0,407.5,3.39
,,,,,86.83,73.8,14.76,18274.0,50.1,3.39
,,,,,357.37,303.76,60.75,75212.0,206.1,3.39
,,,,,725.52,616.69,123.34,152694.0,418.3,3.39
,,,,,170.69,145.09,29.02,35924.0,98.4,3.39
,,,,,372.17,316.35,63.27,78328.0,214.6,3.39
,,,,,537.63,456.98,91.4,113149.0,310.0,3.39
,,,,,107.09,91.03,18.21,22538.0,61.7,3.39
,,,,,605.25,514.46,102.89,127380.0,349.0,3.39
,,,,,719.25,611.36,122.27,151374.0,414.7,3.39
,,,,,678.23,576.49,115.3,142739.0,391.1,3.39
,,,,,346.33,294.38,58.88,72889.0,199.7,3.39
,,,,,157.77,134.11,26.82,33205.0,91.0,3.39
,,,,,623.27,529.78,105.96,131174.0,359.4,3.39
1003750042.0,63 AVENUE D,C7,6.0,1900.0,172.2,146.37,29.27,36242.0,99.3,3.39
,,,,,692.3,588.45,117.69,145701.0,399.2,3.39
,,,,,697.0,592.45,118.49,146690.0,401.9,3.39
,,,,,118.3,100.56,20.11,24898.0,68.2,3.39
,,,,,122.01,103.71,20.74,25679.0,70.4,3.39
