bbl,address,bldgclass,numfloors,yearbuilt,roof_area_m2_actual,canopy_area_m2,pv_kw_dc,annual_kwh,avg_daily_kwh,psh_daily_kwh,lon,lat
,,,,,533.97,453.87,90.77,112378.0,307.9,3.39,-73.97693859373946,40.7250472256567
,,,,,230.14,195.62,39.12,48435.0,132.7,3.39,-73.9778563884357,40.723451129459605
,,,,,100.38,85.32,17.06,21125.0,57.9,3.39,-73.97786377289941,40.725809010939784
,,,,,204.26,173.62,34.72,42988.0,117.8,3.39,-73.97606091039228,40.72413348083447
,,,,,248.04,210.83,42.17,52202.0,143.0,3.39,-73.97781954243096,40.72507519963374
,,,,,70.11,59.59,11.92,14755.0,40.4,3.39,-73.97508274870201,40.726732567998404
,,,,,127.39,108.28,21.66,26811.0,73.5,3.39,-73.97717330595746,40.72356593156547
,,,,,101.48,86.26,17.25,21357.0,58.5,3.39,-73.97742536841608,40.726407206917074
,,,,,706.66,600.66,120.13,148723.0,407.5,3.39,-73.97588008679405,40.72009957858236
,,,,,86.83,73.8,14.76,18274.0,50.1,3.39,-73.97673865105304,40.72305679214628
,,,,,357.37,303.76,60.75,75212.0,206.1,3.39,-73.97610615661166,40.72404225990979
,,,,,725.52,616.69,123.34,152694.0,418.3,3.39,-73.97618164821505,40.722493473888775
,,,,,170.69,145.09,29.02,35924.0,98.4,3.39,-73.97773038943211,40.726081189238066
,,,,,372.17,316.35,63.27,78328.0,214.6,3.39,-73.97666509972089,40.72492926036109
,,,,,537.63,456.98,91.4,113149.0,310.0,3.39,-73.9776536726095,40.726512580915085
,,,,,107.09,91.03,18.21,22538.0,61.7,3.39,-73.97738773104555,40.72221610625694
,,,,,605.25,514.46,102.89,127380.0,349.0,3.39,-73.97728150480339,40.722449764144095
,,,,,719.25,611.36,122.27,151374.0,414.7,3.39,-73.97649042055578,40.72044369794771
,,,,,678.23,576.49,115.3,142739.0,391.1,3.39,-73.97623506432217,40.72569736153377
,,,,,346.33,294.38,58.88,72889.0,199.7,3.39,-73.97645524284113,40.72518025967355
,,,,,157.77,134.11,26.82,33205.0,91.0,3.39,-73.97662734162137,40.72375927767819
,,,,,623.27,529.78,105.96,131174.0,359.4,3.39,-73.97491335278272,40.722470135423364
,,,,,172.2,146.37,29.27,36242.0,99.3,3.39,-73.97745152361988,40.72216280516745
,,,,,692.3,588.45,117.69,145701.0,399.2,3.39,-73.97680320477126,40.72204563379069
,,,,,697.0,592.45,118.49,146690.0,401.9,3.39,-73.97625459225013,40.721804264335496
,,,,,118.3,100.56,20.11,24898.0,68.2,3.39,-73.9776004669866,40.72337350911291
,,,,,122.01,103.71,20.74,25679.0,70.4,3.39,-73.97695149641804,40.72712168242938
,,,,,635.01,539.76,107.95,133644.0,366.1,3.39,-73.97631183052825,40.72483057425717
,,,,,162.4,138.04,27.61,34180.0,93.6,3.39,-73.97750714167753,40.7268516592219
,,,,,703.91,598.33,119.67,148146.0,405.9,3.39,-73.97509805375584,40.72443163322783
,,,,,192.77,163.86,32.77,40571.0,111.2,3.39,-73.97786018910202,40.72621179174541
,,,,,699.46,594.54,118.91,147208.0,403.3,3.39,-73.97769434480296,40.723070180447735
,,,,,2939.29,2498.39,499.68,618603.0,1694.8,3.39,-73.97506005887935,40.726124127592236
,,,,,194.44,165.27,33.05,40922.0,112.1,3.39,-73.97612745429758,40.723892576410265
,,,,,298.51,253.74,50.75,62825.0,172.1,3.39,-73.9776851108388,40.72416781205672
,,,,,146.82,124.8,24.96,30900.0,84.7,3.39,-73.97688429555951,40.723454516386894
,,,,,862.1,732.78,146.56,181437.0,497.1,3.39,-73.97696297422891,40.724278403305945
,,,,,215.8,183.43,36.69,45417.0,124.4,3.39,-73.97618575390422,40.724295734899066
,,,,,183.74,156.18,31.24,38669.0,105.9,3.39,-73.97796760523669,40.72488644251051
,,,,,264.98,225.23,45.05,55768.0,152.8,3.39,-73.97785924839636,40.72160903601315
,,,,,51.89,44.11,8.82,10921.0,29.9,3.39,-73.97727103596549,40.72563099545766
,,,,,102.35,87.0,17.4,21542.0,59.0,3.39,-73.97783055047287,40.72586716225835
,,,,,720.16,612.14,122.43,151566.0,415.2,3.39,-73.9766507298382,40.720228450923436
,,,,,165.16,140.38,28.08,34759.0,95.2,3.39,-73.97749683419931,40.722092046120515
,,,,,815.6,693.26,138.65,171651.0,470.3,3.39,-73.97600065724367,40.726667654791676
,,,,,72.73,61.82,12.36,15307.0,41.9,3.39,-73.97684786351988,40.72310616471917
,,,,,119.6,101.66,20.33,25171.0,69.0,3.39,-73.97710423408245,40.72353104596916
,,,,,703.91,598.33,119.67,148146.0,405.9,3.39,-73.97463601624199,40.725068234154136
,,,,,313.98,266.88,53.38,66080.0,181.0,3.39,-73.97726680607853,40.726711906438595
,,,,,299.93,254.94,50.99,63124.0,172.9,3.39,-73.97727436042678,40.72287475287066
,,,,,278.41,236.65,47.33,58594.0,160.5,3.39,-73.97750515073973,40.723716111714765
,,,,,416.19,353.76,70.75,87592.0,240.0,3.39,-73.97709393163566,40.72704560589127
,,,,,695.1,590.84,118.17,146291.0,400.8,3.39,-73.975281580069,40.71986367371507
,,,,,175.21,148.93,29.79,36874.0,101.0,3.39,-73.976617998696,40.72528408718822
,,,,,208.49,177.21,35.44,43878.0,120.2,3.39,-73.97597796052479,40.72424543845986
,,,,,910.91,774.27,154.85,191710.0,525.2,3.39,-73.97467033337031,40.72403644000467
,,,,,165.88,141.0,28.2,34911.0,95.6,3.39,-73.97761466921715,40.72377862119167
,,,,,653.98,555.88,111.18,137636.0,377.1,3.39,-73.97455059449365,40.72643323447075
,,,,,2814.84,2392.62,478.52,592412.0,1623.0,3.39,-73.97755216783553,40.724650544001165
,,,,,618.8,525.98,105.2,130233.0,356.8,3.39,-73.97539185019633,40.72385421270687
,,,,,127.58,108.45,21.69,26851.0,73.6,3.39,-73.9774034851024,40.72568844495782
,,,,,708.74,602.43,120.49,149161.0,408.7,3.39,-73.97641784869195,40.72109760631326
,,,,,1944.01,1652.41,330.48,409136.0,1120.9,3.39,-73.97664710518829,40.72603200899255
,,,,,1015.67,863.32,172.66,213757.0,585.6,3.39,-73.9766934553963,40.72455062284201
,,,,,461.74,392.48,78.5,97178.0,266.2,3.39,-73.97695794560198,40.7238634510799
,,,,,2150.46,1827.89,365.58,452586.0,1240.0,3.39,-73.97669215322396,40.725837937471915
,,,,,504.36,428.71,85.74,106148.0,290.8,3.39,-73.97572925807246,40.725297350023645
,,,,,191.75,162.99,32.6,40356.0,110.6,3.39,-73.97789901712548,40.724978476881404
,,,,,600.09,510.08,102.02,126296.0,346.0,3.39,-73.97467008046786,40.72291481262396
,,,,,1241.81,1055.54,211.11,261352.0,716.0,3.39,-73.97697408295728,40.72289199474285
,,,,,105.94,90.05,18.01,22297.0,61.1,3.39,-73.97773963568233,40.72344325258013
,,,,,46.79,39.77,7.95,9847.0,27.0,3.39,-73.97795663484321,40.72178946574196
,,,,,683.55,581.02,116.2,143861.0,394.1,3.39,-73.97628405278968,40.71949136006139
,,,,,211.31,179.61,35.92,44472.0,121.8,3.39,-73.97568866914415,40.72457574153243
,,,,,696.23,591.79,118.36,146528.0,401.4,3.39,-73.97524351735879,40.72058076224774
,,,,,2724.62,2315.92,463.18,573423.0,1571.0,3.39,-73.97573176701124,40.727140969044356
,,,,,747.87,635.69,127.14,157396.0,431.2,3.39,-73.97638860056551,40.72635226310809
,,,,,186.03,158.13,31.63,39153.0,107.3,3.39,-73.9762544537961,40.724340837543565
,,,,,188.4,160.14,32.03,39650.0,108.6,3.39,-73.97715285035979,40.72315416591784
,,,,,220.21,187.18,37.44,46345.0,127.0,3.39,-73.97711233588271,40.726913745387705
,,,,,474.41,403.25,80.65,99844.0,273.5,3.39,-73.97741613421894,40.72718563535385
,,,,,173.68,147.62,29.52,36552.0,100.1,3.39,-73.97811648478877,40.723225989920515
,,,,,403.78,343.21,68.64,84980.0,232.8,3.39,-73.97726395845142,40.727125989422774
,,,,,635.27,539.98,108.0,133698.0,366.3,3.39,-73.97639651702791,40.72674430296117
,,,,,132.86,112.93,22.59,27962.0,76.6,3.39,-73.97555996471345,40.724758145323456
,,,,,710.31,603.76,120.75,149491.0,409.6,3.39,-73.9751579012418,40.72206251934879
,,,,,110.33,93.78,18.76,23220.0,63.6,3.39,-73.97796021552115,40.72570449295254
,,,,,338.65,287.85,57.57,71272.0,195.3,3.39,-73.97632230968046,40.72512830272643
,,,,,116.95,99.41,19.88,24613.0,67.4,3.39,-73.9767947726202,40.723827099469304
,,,,,708.33,602.08,120.42,149075.0,408.4,3.39,-73.97578488961916,40.72082419855015
,,,,,122.03,103.72,20.74,25682.0,70.4,3.39,-73.9767163830802,40.72379574792447
,,,,,199.3,169.4,33.88,41944.0,114.9,3.39,-73.97601965176027,40.72418916785345
,,,,,221.99,188.69,37.74,46719.0,128.0,3.39,-73.97717520038472,40.72682559901543
,,,,,29.01,24.66,4.93,6106.0,16.7,3.39,-73.9748159734848,40.7237782149265
,,,,,117.96,100.26,20.05,24825.0,68.0,3.39,-73.97731774297955,40.723617770000594
,,,,,256.72,218.22,43.64,54030.0,148.0,3.39,-73.97632286999014,40.72363248845603
,,,,,22.23,18.9,3.78,4679.0,12.8,3.39,-73.97716089245492,40.72455999326107
,,,,,198.45,168.69,33.74,41767.0,114.4,3.39,-73.97633313494016,40.72437457919379
,,,,,1025.85,871.97,174.39,215900.0,591.5,3.39,-73.97433273181905,40.723478868465826
,,,,,522.73,444.32,88.86,110014.0,301.4,3.39,-73.97655749834233,40.72654101244434
,,,,,115.92,98.53,19.71,24396.0,66.8,3.39,-73.9775350695539,40.723347369377954
,,,,,302.08,256.77,51.35,63575.0,174.2,3.39,-73.97616670362659,40.7250914994845
,,,,,123.95,105.36,21.07,26087.0,71.5,3.39,-73.97745970374842,40.723316335000746
,,,,,87.21,74.13,14.83,18355.0,50.3,3.39,-73.9765798642171,40.72431540599938
,,,,,215.82,183.45,36.69,45422.0,124.4,3.39,-73.97705890135995,40.72545984808538
,,,,,618.67,525.87,105.17,130204.0,356.7,3.39,-73.97599285092652,40.72292427601764
,,,,,218.89,186.06,37.21,46068.0,126.2,3.39,-73.97615256373967,40.72476378519234
