name,base_bbl,shape_area,construction_year,ground_elevation,mappluto_bbl,objectid,feature_code,shape_length,height_roof,last_status_type,bin,last_edited_date,geom_source,doitt_id,roof_area_m2_actual,canopy_area_m2,pv_kw_dc,annual_kwh,avg_daily_kwh,psh_daily_kwh,bbl,address,bldgclass,numfloors,yearbuilt,zoning_dist,commercial_overlay,special_purpose,limited_height,in_mih,has_edesignation,fema_firm_zone,in_historic_district
,1003760027,171.41796875,1920,11,1003760027,237059,2100,55.670552787041075,40.72,Constructed,1004484,2017-08-22 17:36:32+00:00,Photogrammetric,639798,98.36,83.6,16.72,20700.0,56.7,3.39,,,,,,R8B,C1-5,,,False,False,,True
,1003620001,1045.85546875,1948,11,1003620001,787970,2100,202.8694528180564,120.57,Constructed,1077507,2017-08-22 18:31:12+00:00,Photogrammetric,257252,600.09,510.08,102.02,126295.0,346.0,3.39,,,,,,R8A,C1-5,,,False,False,,True
,1003750030,473.10546875,1902,12,1003750030,926397,2100,116.6547929903833,66.88,Constructed,1004442,2017-08-22 18:25:00+00:00,Photogrammetric,66679,271.47,230.75,46.15,57133.0,156.5,3.39,,,,,,R8B,C1-5,,,False,False,,True
,1003760018,311.83984375,1928,10,1003760018,437530,2100,96.438980103524386,68.41,Constructed,1004476,2017-08-22 19:34:53+00:00,Photogrammetric,350078,178.92,152.08,30.42,37655.0,103.2,3.39,,,,,,R7-2,C1-5,,,False,False,,True
,1003770060,289.34375,1900,10,1003770060,395480,2100,95.600654606789163,63.57,Constructed,1004519,2017-08-22 18:01:05+00:00,Photogrammetric,270173,166.02,141.11,28.22,34940.0,95.7,3.39,,,,,,R8B,C1-5,,,False,False,,True
,1003940050,302.015625,1900,8,1003940050,337936,2100,95.495168546263557,70.01,Constructed,1004916,2017-08-22 17:47:43+00:00,Photogrammetric,685262,173.27,147.28,29.46,36466.0,99.9,3.39,,,,,,R8B,C1-5,,,False,False,,True
,1003930036,243.390625,1920,10,1003930036,631244,2100,68.29022093452474,53.86,Constructed,1004893,2017-08-22 18:11:02+00:00,Photogrammetric,330402,139.64,118.69,23.74,29388.0,80.5,3.39,,,,,,R8B,C1-5,,,False,False,,True
,1003790010,279.49609375,1900,9,1003790010,172847,2100,76.2909163443422,53.81,Constructed,1004541,2017-08-22 18:04:37+00:00,Photogrammetric,644880,160.36,136.31,27.26,33749.0,92.5,3.39,,,,,,R8B,C1-5,,,False,False,,True
,1003940046,234.19140625,1920,8,1003947501,658852,2100,67.0447820752801,51,Constructed,1066552,2017-08-22 18:15:22+00:00,Other (Manual),676610,134.36,114.21,22.84,28278.0,77.5,3.39,,,,,,R7A,C1-5,,,False,False,,True
,1003780010,1243.88671875,1900,7,1003780010,359386,2100,197.8113111260414,66.62,Constructed,1004530,2017-08-22 17:47:34+00:00,Photogrammetric,146492,713.69,606.64,121.33,150203.0,411.5,3.39,,,,,,R7A,C1-5,,,False,False,,True
,1003790017,450.41015625,1900,8,1003790017,997238,2100,117.03495066217224,64.01,Constructed,1004546,2017-08-22 18:40:59+00:00,Photogrammetric,192549,258.42,219.66,43.93,54388.0,149.0,3.39,,,,,,R8B,C1-5,,,False,False,,True
,1003560001,2391.09765625,1950,10,1003560001,796295,2100,235.96740732645853,20.18,Constructed,1082815,2017-08-22 19:10:11+00:00,Photogrammetric,774398,1372.01,1166.21,233.24,288754.0,791.1,3.39,,,,,,R7A,C1-5,,,False,False,,True
,1003750028,186.93359375,1900,13,1003750028,4303,2100,57.79613050302958,47.5,Constructed,1004440,2017-08-22 19:37:13+00:00,Photogrammetric,448656,107.26,91.17,18.23,22574.0,61.8,3.39,,,,,,R8B,C1-5,,,False,False,,True
,1003930034,242.421875,1900,7,1003930034,746666,2100,77.691662621098885,57.7,Constructed,1004891,2017-08-22 17:32:25+00:00,Photogrammetric,799752,139.09,118.22,23.64,29272.0,80.2,3.39,,,,,,R7A,C1-5,,,False,False,,True
,1003820022,532.30078125,1953,12,1003820022,57796,2100,98.718356297303188,20,Constructed,1088344,2017-08-22 18:16:14+00:00,Other (Manual),341212,305.4,259.59,51.92,64274.0,176.1,3.39,,,,,,R8B,C1-5,,,False,False,,True
,1003770051,279.9609375,1900,9,1003770051,919242,2100,82.373131994334443,45.94,Constructed,1004512,2017-08-22 18:25:02+00:00,Photogrammetric,193720,160.64,136.54,27.31,33808.0,92.6,3.39,,,,,,R8B,C1-5,,,False,False,,True
,1003760031,330.33984375,1920,12,1003760031,527904,2100,103.02646605120546,69.06,Constructed,1004487,2017-08-22 18:48:35+00:00,Photogrammetric,24915,189.54,161.11,32.22,39891.0,109.3,3.39,,,,,,R7-2,C1-5,,,False,False,,True
,1003770054,201.3515625,1920,9,1003770054,467993,2100,76.662105572883576,50.37,Constructed,1004515,2017-08-22 17:45:42+00:00,Photogrammetric,71913,115.53,98.2,19.64,24314.0,66.6,3.39,,,,,,R8B,C2-5,,,False,False,,True
,1003560001,1236.0078125,1950,8,1003560001,401220,2100,243.61950141232427,123.6,Constructed,1078052,2017-08-22 19:15:22+00:00,Photogrammetric,665515,709.23,602.85,120.57,149266.0,408.9,3.39,,,,,,R7A,C1-5,,,False,False,,True
,1003790027,2093.109375,1928,8,1003790027,246128,2100,191.6486658731331,98.76,Constructed,1004551,2017-08-22 18:20:25+00:00,Photogrammetric,718330,1200.93,1020.79,204.16,252748.0,692.5,3.39,,,,,,R7-2,C1-5,,,False,False,,True
,1003760043,333.296875,1940,10,1003760043,86937,2100,91.075253438687241,36.45,Constructed,1004492,2017-08-22 19:22:55+00:00,Photogrammetric,408572,191.24,162.55,32.51,40248.0,110.3,3.39,,,,,,R8B,C1-5,,,False,False,,True
,1003760026,283.16015625,1900,11,1003760026,624520,2100,79.506555615314127,43.8,Constructed,1004483,2017-08-22 18:27:56+00:00,Photogrammetric,421290,162.48,138.11,27.62,34195.0,93.7,3.39,,,,,,R8B,C1-5,,,False,False,,True
,1003560001,1261.5390625,1950,12,1003560001,215075,2100,247.726691569805,131.49862656,Constructed,1078049,2017-08-22 17:49:39+00:00,Photogrammetric,590584,723.89,615.31,123.06,152350.0,417.4,3.39,,,,,,R8A,C1-5,,,False,False,,True
,1003790015,388.18359375,1930,8,1003790015,949456,2100,99.53753946533152,62.08,Constructed,1004545,2017-08-22 19:25:42+00:00,Photogrammetric,300133,222.71,189.31,37.86,46872.0,128.4,3.39,,,,,,R8B,C1-5,,,False,False,,True
,1003750032,247.5546875,1899,11,1003750032,458498,2100,72.994790348624491,40.8,Constructed,1004443,2017-08-22 18:00:00+00:00,Photogrammetric,102717,142.04,120.74,24.15,29895.0,81.9,3.39,,,,,,R7-2,C1-5,,,False,False,,True
,1003770056,173.5546875,1899,10,1003770056,608763,2100,55.154716736424319,42.22,Constructed,1004517,2017-08-22 18:28:28+00:00,Photogrammetric,32880,99.58,84.64,16.93,20957.0,57.4,3.39,,,,,,R8B,C1-5,,,False,False,,True
,1003560001,1216.4609375,1950,17,1003560001,596039,2100,242.5160304186339,99.86,Constructed,1078046,2017-08-22 19:07:42+00:00,Photogrammetric,720925,698.05,593.35,118.67,146912.0,402.5,3.39,,,,,,R8A,C1-5,,,False,False,,True
,1003790011,278.6484375,1900,8,1003790011,499636,2100,93.0955097169802,54.81,Constructed,1004542,2017-08-22 17:33:06+00:00,Photogrammetric,500830,159.88,135.9,27.18,33648.0,92.2,3.39,,,,,,R8B,C1-5,,,False,False,,True
,1003770015,250.61328125,1900,10,1003777501,64193,2100,71.197769602085188,59.93,Constructed,1004505,2017-08-22 17:29:12+00:00,Photogrammetric,382736,143.79,122.22,24.44,30262.0,82.9,3.39,,,,,,R8B,C2-5,,,False,False,,True
,1003940048,194.8671875,1900,6,1003940048,619373,2100,58.488015154580054,45.57,Constructed,1077487,2017-08-22 17:55:40+00:00,Photogrammetric,493548,111.8,95.03,19.01,23530.0,64.5,3.39,,,,,,R7-2,C1-5,,,False,False,,True
,1003930037,241.5859375,1920,10,1003930037,109207,2100,68.140549854201353,53.86,Constructed,1004894,2017-08-22 18:59:49+00:00,Photogrammetric,530923,138.61,117.81,23.56,29171.0,79.9,3.39,,,,,,R8B,C2-5,,,False,False,,True
,1003760022,161.20703125,1899,9,1003760022,332454,2100,53.572879920463023,41.51,Constructed,1004479,2017-08-22 18:55:26+00:00,Photogrammetric,149389,92.5,78.62,15.72,19467.0,53.3,3.39,,,,,,R8B,C1-5,,,False,False,,True
,1003560100,6159.12109375,1904,9,1003560100,334103,2100,315.67334810595457,79.46,Constructed,1004349,2017-08-22 19:36:44+00:00,Photogrammetric,852123,3534.36,3004.21,600.84,743841.0,2037.9,3.39,,,,,,R8B,C1-5,,,False,False,,True
,1003760039,189.49609375,1900,12,1003760039,436709,2100,58.474729501478869,64.79,Constructed,1004490,2017-08-22 19:14:00+00:00,Photogrammetric,377739,108.73,92.42,18.48,22883.0,62.7,3.39,,,,,,R7-2,C1-5,,,False,False,,True
,1003780043,558.078125,1937,11,1003780043,282507,2100,107.79949653559513,35.97,Constructed,1004538,2017-08-22 19:18:08+00:00,Photogrammetric,628419,320.21,272.18,54.44,67392.0,184.6,3.39,,,,,,R8B,C1-5,,,False,False,,True
,1003770050,206.82421875,1900,11,1003770050,620814,2100,63.816809288233486,60.21,Constructed,1004511,2017-08-22 17:30:02+00:00,Photogrammetric,572909,118.67,100.87,20.17,24976.0,68.4,3.39,,,,,,R8B,C1-5,,,False,False,,True
,1003770061,292.953125,2019,10,1003777505,1074334,2100,76.3746812364613,67,Constructed,1004520,2020-01-17 20:48:49+00:00,Other (Manual),1291862,168.09,142.87,28.57,35375.0,96.9,3.39,,,,,,R8B,C1-5,,,False,False,,True
,1003780031,364.46875,1910,11,1003780031,205103,2100,92.9473889578247,57.26,Constructed,1004532,2017-08-22 18:04:03+00:00,Photogrammetric,278687,209.12,177.75,35.55,44011.0,120.6,3.39,,,,,,R7A,C1-5,,,False,False,,True
,1003560001,1237.11328125,1950,10,1003560001,255408,2100,242.33691104249175,133.522598,Constructed,1078047,2017-08-22 19:38:07+00:00,Photogrammetric,329503,709.89,603.41,120.68,149404.0,409.3,3.39,,,,,,R8B,C1-5,,,False,False,,True
,1003790034,431.47265625,1920,9,1003790034,472646,2100,111.50317176779757,86.53,Constructed,1004554,2017-08-22 19:34:14+00:00,Photogrammetric,974269,247.56,210.42,42.08,52101.0,142.7,3.39,,,,,,R7-2,C2-5,,,False,False,,True
,1003790020,225.87109375,2003,8,1003790020,368885,2100,66.643246709458154,71.29,Constructed,1004548,2017-08-22 17:35:02+00:00,Photogrammetric,942437,129.59,110.16,22.03,27275.0,74.7,3.39,,,,,,R8A,C2-5,,,False,False,,True
,1003940028,195.05859375,1958,9,1003940028,236730,2100,63.168781951525858,18.46,Constructed,1079054,2017-08-22 19:18:51+00:00,Photogrammetric,601693,111.91,95.12,19.02,23552.0,64.5,3.39,,,,,,R8B,C1-5,,,False,False,,True
,1003920031,113.21875,1900,8,1003920031,522731,2100,43.317979867377886,13.48,Constructed,1079688,2017-08-22 18:30:07+00:00,Photogrammetric,203863,64.96,55.22,11.04,13671.0,37.5,3.39,,,,,,R8B,C1-5,,,False,False,,True
,1003760028,334.16015625,1900,11,1003760028,272586,2100,103.67720169631214,70.06,Constructed,1004485,2017-08-22 19:38:20+00:00,Photogrammetric,247891,191.74,162.98,32.6,40353.0,110.6,3.39,,,,,,R8B,C1-5,,,False,False,,True
,1003780040,485.72265625,2018,11,1003787501,418844,2100,103.77472545342731,98,Constructed,1089859,2019-02-20 18:24:26+00:00,Other (Manual),1277057,278.7,236.89,47.38,58654.0,160.7,3.39,,,,,,R8A,C2-5,,,False,False,,True
,1003940048,190.27734375,1900,7,1003940048,674043,2100,58.00384746785118,44.57,Constructed,1077459,2017-08-22 17:29:23+00:00,Photogrammetric,593982,109.17,92.79,18.56,22975.0,62.9,3.39,,,,,,R7-2,C1-5,,,False,False,,True
,1003750039,379.9453125,1910,12,1003750039,836430,2100,107.52876534826073,64.15,Constructed,1004445,2017-08-22 17:31:22+00:00,Photogrammetric,231140,218.02,185.32,37.06,45884.0,125.7,3.39,,,,,,R8A,C1-5,,,False,False,,True
,1003790053,930.66015625,2009,9,1003790053,87477,2100,129.42086013108718,86.03430787,Constructed,1088945,2017-08-22 18:05:54+00:00,Photogrammetric,1118053,533.97,453.87,90.77,112378.0,307.9,3.39,,,,,,R8B,C1-5,,,False,False,,True
,1003760019,401.08203125,1910,11,1003760019,374993,2100,107.61856592635627,66.29,Constructed,1004477,2017-08-22 17:34:34+00:00,Photogrammetric,828042,230.14,195.62,39.12,48435.0,132.7,3.39,,,,,,R8B,C1-5,,,False,False,,True
,1003920032,174.953125,1900,9,1003920032,437400,2100,55.643171124466875,37.3,Constructed,1004773,2017-08-22 18:52:28+00:00,Photogrammetric,319736,100.38,85.32,17.06,21125.0,57.9,3.39,,,,,,R7A,C2-5,,,False,False,,True
,1003780034,355.99609375,1910,10,1003780034,346930,2100,93.968274892120334,12.48,Constructed,1004535,2017-08-22 17:47:45+00:00,Photogrammetric,238893,204.26,173.62,34.72,42988.0,117.8,3.39,,,,,,R8B,C1-5,,,False,False,,True
,1003780009,432.3125,1920,8,1003780009,919796,2100,102.35355284416737,66.82,Constructed,1004529,2017-08-22 17:39:51+00:00,Photogrammetric,778110,248.04,210.83,42.17,52202.0,143.0,3.39,,,,,,R8B,C2-5,,,False,False,,True
,1003820022,122.1953125,1953,12,1003820022,1058230,2100,49.362789936833494,10,Constructed,1088346,2017-08-22 17:53:02+00:00,Other (Manual),794618,70.11,59.59,11.92,14755.0,40.4,3.39,,,,,,R8A,C2-5,,,False,False,,True
,1003770053,222.01953125,1900,10,1003770053,823495,2100,73.251123639791174,44.12,Constructed,1004514,2017-08-22 19:31:26+00:00,Photogrammetric,371801,127.39,108.28,21.66,26811.0,73.5,3.39,,,,,,R8B,C2-5,,,False,False,,True
,1003930033,176.8671875,1920,8,1003930033,557244,2100,55.4483556143974,47.87,Constructed,1004890,2017-08-22 18:29:15+00:00,Photogrammetric,4414,101.48,86.26,17.25,21357.0,58.5,3.39,,,,,,R8A,C1-5,,,False,False,,True
,1003560001,1231.4765625,1950,10,1003560001,854990,2100,242.49769898701524,123.03,Constructed,1078056,2017-08-22 19:05:02+00:00,Photogrammetric,125347,706.66,600.66,120.13,148723.0,407.5,3.39,,,,,,R8B,C1-5,,,False,False,,True
,1003760032,151.33203125,1901,11,1003760032,736296,2100,52.172686537503758,35.15,Constructed,1004488,2017-08-22 17:32:25+00:00,Photogrammetric,240313,86.83,73.8,14.76,18274.0,50.1,3.39,,,,,,R8B,C1-5,,,False,False,,True
,1003780035,622.83984375,1900,10,1003780035,720564,2100,103.87818410807255,65.47,Constructed,1004536,2017-08-22 19:05:30+00:00,Photogrammetric,694847,357.37,303.76,60.75,75212.0,206.1,3.39,,,,,,R7A,C2-5,,,False,False,,True
,1003620001,1264.4375,1948,11,1003620001,742601,2100,253.03861787349689,61.75,Constructed,1077552,2017-08-22 17:58:33+00:00,Photogrammetric,630607,725.52,616.69,123.34,152694.0,418.3,3.39,,,,,,R8A,C2-5,,,False,False,,True
,1003930039,297.50390625,1900,9,1003930039,872554,2100,82.778367196867,54.84,Constructed,1004896,2017-08-22 18:08:36+00:00,Photogrammetric,378032,170.69,145.09,29.02,35924.0,98.4,3.39,,,,,,R7A,C2-5,,,False,False,,True
,1003790051,648.6640625,2001,9,1003790051,949990,2100,125.58774088030403,78.24,Constructed,1084632,2017-08-22 17:52:39+00:00,Photogrammetric,965731,372.17,316.35,63.27,78328.0,214.6,3.39,,,,,,R7-2,C2-5,,,False,False,,True
,1003930028,937.0703125,1999,7,1003937501,879348,2100,177.87257561679871,39,Constructed,1088368,2017-08-22 18:50:38+00:00,Other (Manual),961838,537.63,456.98,91.4,113149.0,310.0,3.39,,,,,,R8B,C2-5,,,False,False,,True
